date,BAC,dollar exchange rate,KOSPI,gold price,silver price,natural gas price
2021-01-01,29.65,"1,117.64","2,976.21","1,852.70",27.688,2.564
2020-12-01,30.31,"1,084.47","2,873.47","1,899.60",27.228,2.539
2020-11-01,28.16,"1,109.32","2,591.34","1,784.80",23.464,2.882
2020-10-01,23.7,"1,136.49","2,267.15","1,887.20",24.761,3.354
2020-09-01,24.09,"1,164.65","2,327.89","1,902.60",24.595,2.527
2020-08-01,25.74,"1,187.94","2,326.17","1,978.60",29.744,2.63
2020-07-01,24.88,"1,193.59","2,249.37","1,985.90",25.77,1.799
2020-06-01,23.75,"1,199.28","2,108.33","1,810.00",19.753,1.751
2020-05-01,24.12,"1,231.49","2,029.60","1,760.70",19.473,1.849
2020-04-01,24.05,"1,212.94","1,947.56","1,701.00",15.953,1.949
2020-03-01,21.23,"1,218.30","1,754.64","1,596.60",15.016,1.64
2020-02-01,28.5,"1,200.20","1,987.01","1,571.80",17.57,1.684
2020-01-01,32.83,"1,194.97","2,119.01","1,593.80",19.224,1.841
2019-12-01,35.22,"1,154.07","2,197.67","1,529.30",19.156,2.189
2019-11-01,33.32,"1,180.70","2,087.96","1,478.10",18.378,2.281
2019-10-01,31.27,"1,169.24","2,083.48","1,521.80",19.451,2.633
2019-09-01,29.17,"1,198.09","2,063.05","1,479.60",18.395,2.33
2019-08-01,27.51,"1,209.50","1,967.79","1,529.40",19.567,2.285
2019-07-01,30.68,"1,187.32","2,024.55","1,437.80",17.852,2.233
2019-06-01,29,"1,155.38","2,130.62","1,419.60",16.741,2.308
2019-05-01,26.6,"1,187.80","2,041.74","1,316.90",16.187,2.454
2019-04-01,30.58,"1,163.25","2,203.59","1,291.70",16.857,2.575
2019-03-01,27.59,"1,136.10","2,140.67","1,304.50",17.031,2.662
2019-02-01,29.08,"1,124.60","2,195.44","1,322.70",17.71,2.812
2019-01-01,28.47,"1,111.40","2,204.85","1,331.60",18.231,2.814
2018-12-01,24.64,"1,113.30","2,041.04","1,287.70",17.699,2.94
2018-11-01,28.4,"1,119.44","2,096.86","1,231.80",14.18,4.612
2018-10-01,27.5,"1,141.02","2,029.69","1,220.80",14.324,3.261
2018-09-01,29.46,"1,109.98","2,343.07","1,201.90",14.712,3.008
2018-08-01,30.93,"1,115.46","2,322.88","1,206.70",14.517,2.916
2018-07-01,30.88,"1,112.25","2,295.26","1,233.60",15.597,2.782
2018-06-01,28.19,"1,113.91","2,326.13","1,260.20",16.198,2.924
2018-05-01,29.04,"1,079.59","2,423.01","1,310.80",16.503,2.952
2018-04-01,29.92,"1,069.33","2,515.38","1,325.30",16.401,2.763
2018-03-01,29.99,"1,060.25","2,445.85","1,333.30",16.312,2.733
2018-02-01,32.1,"1,084.21","2,427.36","1,323.70",16.407,2.667
2018-01-01,32,"1,069.08","2,566.46","1,348.40",17.284,2.995
2017-12-01,29.52,"1,066.37","2,467.49","1,314.00",17.145,2.953
2017-11-01,28.17,"1,087.13","2,476.37","1,281.10",16.445,3.025
2017-10-01,27.39,"1,117.42","2,523.43","1,274.70",16.726,2.896
2017-09-01,25.34,"1,144.29","2,394.47","1,288.90",16.676,3.007
2017-08-01,23.89,"1,123.85","2,363.19","1,322.20",17.541,3.04
2017-07-01,24.12,"1,118.40","2,402.71","1,273.40",16.835,2.794
2017-06-01,24.26,"1,144.43","2,391.79","1,246.00",16.627,3.035
2017-05-01,22.41,"1,118.65","2,347.38","1,279.00",17.443,3.071
2017-04-01,23.34,"1,136.87","2,205.44","1,271.70",17.262,3.276
2017-03-01,23.59,"1,116.65","2,160.23","1,254.50",18.294,3.19
2017-02-01,24.68,"1,136.39","2,091.64","1,257.20",18.469,2.774
2017-01-01,22.64,"1,150.65","2,067.57","1,214.50",17.577,3.117
2016-12-01,22.1,"1,206.25","2,026.46","1,154.30",15.989,3.724
2016-11-01,21.12,"1,176.39","1,983.48","1,177.00",16.454,3.352
2016-10-01,16.5,"1,141.73","2,008.19","1,276.90",17.835,3.026
2016-09-01,15.65,"1,100.91","2,043.63","1,320.90",19.214,2.906
2016-08-01,16.14,"1,115.29","2,034.65","1,311.40",18.675,2.887
2016-07-01,14.49,"1,110.89","2,016.19","1,357.50",20.393,2.876
2016-06-01,13.27,"1,150.99","1,970.35","1,324.00",18.623,2.924
2016-05-01,14.79,"1,188.39","1,983.40","1,220.30",16.018,2.288
2016-04-01,14.56,"1,143.83","1,994.15","1,292.60",17.819,2.178
2016-03-01,13.52,"1,143.97","1,995.85","1,237.00",15.483,1.959
2016-02-01,12.52,"1,237.24","1,916.66","1,235.10",14.918,1.711
2016-01-01,14.14,"1,207.11","1,912.06","1,116.80",14.255,2.298
2015-12-01,16.83,"1,174.95","1,961.31","1,060.80",13.803,2.337
2015-11-01,17.43,"1,159.61","1,991.97","1,066.00",14.072,2.235
2015-10-01,16.78,"1,140.16","2,029.47","1,142.30",15.584,2.321
2015-09-01,15.58,"1,184.44","1,962.81","1,116.00",14.518,2.524
2015-08-01,16.34,"1,181.82","1,941.49","1,132.50",14.581,2.689
2015-07-01,17.88,"1,165.67","2,030.16","1,095.10",14.765,2.716
2015-06-01,17.02,"1,119.03","2,074.20","1,172.80",15.581,2.832
2015-05-01,16.5,"1,112.01","2,114.80","1,190.70",16.721,2.642
2015-04-01,15.93,"1,076.34","2,127.17","1,183.40",16.153,2.751
2015-03-01,15.39,"1,107.99","2,041.03","1,184.10",16.619,2.64
2015-02-01,15.81,"1,100.53","1,985.80","1,214.00",16.558,2.734
2015-01-01,15.15,"1,101.40","1,949.26","1,280.00",17.228,2.691
2014-12-01,17.89,"1,092.90","1,915.59","1,184.90",15.599,2.889
2014-11-01,17.04,"1,112.45","1,980.78","1,176.00",15.547,4.088
2014-10-01,17.16,"1,072.60","1,964.43","1,172.40",16.126,3.873
2014-09-01,17.05,"1,054.55","2,020.09","1,212.30",17.057,4.121
2014-08-01,16.09,"1,013.85","2,068.54","1,287.40",19.454,4.065
2014-07-01,15.25,"1,027.75","2,076.12","1,282.80",20.432,3.841
2014-06-01,15.37,"1,011.50","2,002.21","1,322.40",21.056,4.461
2014-05-01,15.14,"1,020.30","1,994.96","1,246.30",18.7,4.542
2014-04-01,15.14,"1,032.75","1,961.79","1,296.00",19.174,4.815
2014-03-01,17.2,"1,064.65","1,985.61","1,284.10",19.765,4.371
2014-02-01,16.53,"1,066.01","1,979.99","1,321.90",21.241,4.609
2014-01-01,16.75,"1,080.36","1,941.15","1,240.30",19.138,4.943
2013-12-01,15.57,"1,049.50","2,011.34","1,203.00",19.37,4.23
2013-11-01,15.82,"1,057.76","2,044.87","1,251.30",20.016,3.954
2013-10-01,13.97,"1,060.83","2,030.09","1,324.50",21.882,3.581
2013-09-01,13.8,"1,073.58","1,996.96","1,327.70",21.708,3.56
2013-08-01,14.12,"1,109.42","1,926.36","1,396.10",23.495,3.581
2013-07-01,14.6,"1,123.25","1,914.03","1,313.00",19.643,3.446
2013-06-01,12.86,"1,141.45","1,863.32","1,224.80",19.47,3.565
2013-05-01,13.66,"1,130.51","2,001.05","1,394.20",22.265,3.984
2013-04-01,12.31,"1,101.16","1,963.95","1,473.50",24.185,4.343
2013-03-01,12.18,"1,111.05","2,004.89","1,597.40",28.353,4.024
2013-02-01,11.23,"1,083.90","2,026.49","1,579.80",28.432,3.486
2013-01-01,11.32,"1,087.31","1,961.94","1,662.00",31.38,3.339
2012-12-01,11.61,"1,063.24","1,997.05","1,676.90",30.227,3.351
2012-11-01,9.86,"1,081.50","1,932.90","1,712.70",33.254,3.561
2012-10-01,9.32,"1,089.92","1,912.06","1,720.20",32.342,3.692
2012-09-01,8.83,"1,113.07","1,996.21","1,773.90",34.577,3.32
2012-08-01,7.99,"1,133.19","1,905.12","1,686.40",31.417,2.799
2012-07-01,7.34,"1,130.27","1,881.99","1,612.40",27.941,3.209
2012-06-01,8.18,"1,140.72","1,854.01","1,605.30",27.612,2.824
2012-05-01,7.35,"1,179.87","1,843.47","1,564.20",27.785,2.422
2012-04-01,8.11,"1,129.55","1,981.99","1,665.30",31.016,2.285
2012-03-01,9.57,"1,131.40","2,014.04","1,671.90",32.513,2.126
2012-02-01,7.97,"1,118.80","2,030.25","1,712.60",34.642,2.616
2012-01-01,7.13,"1,125.45","1,955.79","1,740.40",33.29,2.503
2011-12-01,5.56,"1,158.50","1,825.74","1,568.00",27.915,2.989
2011-11-01,5.44,"1,140.05","1,847.51","1,750.30",32.777,3.55
2011-10-01,6.83,"1,111.85","1,909.03","1,726.20",34.37,3.934
2011-09-01,6.12,"1,180.90","1,769.65","1,622.30",30.083,3.666
2011-08-01,8.17,"1,064.90","1,880.11","1,830.30",41.727,4.054
2011-07-01,9.71,"1,054.00","2,133.21","1,629.90",40.114,4.145
2011-06-01,10.96,"1,066.30","2,100.69","1,503.30",34.832,4.374
2011-05-01,11.75,"1,078.00","2,142.47","1,536.80",38.317,4.666
2011-04-01,12.28,"1,068.00","2,192.36","1,557.00",48.599,4.698
2011-03-01,13.33,"1,095.50","2,106.70","1,439.90",37.9,4.389
2011-02-01,14.29,"1,124.65","1,939.30","1,410.60",33.82,4.037
2011-01-01,13.73,"1,119.25","2,069.73","1,334.50",28.179,4.42
2010-12-01,13.34,"1,120.50","2,051.00","1,422.50",30.937,4.405
2010-11-01,10.95,"1,157.00","1,904.63","1,386.10",28.199,4.18
2010-10-01,11.45,"1,124.50","1,882.95","1,358.70",24.585,4.038
2010-09-01,13.1,"1,140.25","1,872.81","1,309.60",21.821,3.872
2010-08-01,12.46,"1,199.00","1,742.75","1,249.60",19.418,3.816
2010-07-01,14.04,"1,182.75","1,759.33","1,182.40",18.02,4.923
2010-06-01,14.37,"1,223.25","1,698.29","1,246.90",18.708,4.616
2010-05-01,15.74,"1,202.12","1,641.25","1,215.00",18.44,4.341
2010-04-01,17.83,"1,108.50","1,741.56","1,181.40",18.639,3.92
2010-03-01,17.85,"1,132.80","1,692.85","1,114.50",17.54,3.869
2010-02-01,16.66,"1,160.00","1,594.58","1,119.50",16.521,4.813
2010-01-01,15.18,"1,158.90","1,602.43","1,083.80",16.2,5.131
2009-12-01,15.06,"1,166.08","1,682.77","1,096.90",16.845,5.572
2009-11-01,15.85,"1,163.40","1,555.60","1,182.30",18.517,4.848
2009-10-01,14.58,"1,186.60","1,580.69","1,040.90",16.265,5.045
2009-09-01,16.92,"1,176.50","1,673.14","1,009.30",16.658,4.841
2009-08-01,17.59,"1,249.50","1,591.85",952.8,14.914,2.977
2009-07-01,14.79,"1,222.70","1,557.29",954.5,13.96,3.653
2009-06-01,13.2,"1,274.80","1,390.07",928.1,13.6,3.835
2009-05-01,11.27,"1,258.25","1,395.89",980.3,15.622,3.835
2009-04-01,8.93,"1,278.00","1,369.36",892,12.325,3.373
2009-03-01,6.82,"1,374.05","1,206.26",925,12.999,3.776
2009-02-01,3.95,"1,533.45","1,063.03",943.5,13.11,4.198
2009-01-01,6.58,"1,381.50","1,162.11",928.4,12.575,4.417
2008-12-01,14.08,"1,263.00","1,124.47",884.8,11.295,5.622
2008-11-01,16.25,"1,469.00","1,076.07",819,10.208,6.51
2008-10-01,24.17,"1,282.50","1,113.06",718.9,9.733,6.783
2008-09-01,35,"1,206.95","1,448.06",880.8,12.275,7.438
2008-08-01,31.14,"1,089.25","1,474.24",833.2,13.671,7.943
2008-07-01,32.9,"1,012.25","1,594.67",918,17.841,9.119
2008-06-01,23.87,"1,051.00","1,674.92",930.6,17.51,13.353
2008-05-01,34.01,"1,028.25","1,852.02",891.5,16.913,11.703
2008-04-01,37.54,"1,003.00","1,825.47",867.2,16.593,10.843
2008-03-01,37.91,990.35,"1,703.99",921.5,17.355,10.101
2008-02-01,39.74,939.05,"1,711.62",977.5,19.915,9.366
2008-01-01,44.15,943.85,"1,624.68",928,17.041,8.074
2007-12-01,41.26,936,"1,897.13",841.2,14.92,7.483
2007-11-01,46.13,921.15,"1,906.00",789.1,14.097,7.302
2007-10-01,48.28,900.8,"2,064.85",798.5,14.494,8.33
2007-09-01,50.27,915.15,"1,946.48",750,13.92,6.87
2007-08-01,50.68,938.35,"1,873.24",678.8,12.162,5.468
2007-07-01,47.42,919.35,"1,933.27",673,13.072,6.191
2007-06-01,48.89,923.9,"1,743.60",653.9,12.473,6.773
2007-05-01,50.71,927.75,"1,700.91",666.7,13.538,7.935
2007-04-01,50.9,930.85,"1,542.24",686.7,13.575,7.863
2007-03-01,51.02,940.85,"1,452.55",669,13.51,7.73
2007-02-01,50.83,941.7,"1,417.34",675.6,14.235,7.3
2007-01-01,52.58,941.5,"1,360.23",657.9,13.632,7.667
2006-12-01,53.39,930,"1,434.46",641.1,12.935,6.299
2006-11-01,53.85,929.35,"1,432.21",652.9,14.052,8.844
2006-10-01,53.87,942.25,"1,364.55",609.8,12.322,7.534
2006-09-01,53.57,946.25,"1,371.41",604.2,11.54,5.62
2006-08-01,51.47,961.3,"1,352.74",631.2,13.002,6.048
2006-07-01,51.53,955.15,"1,297.82",640.4,11.39,8.211
2006-06-01,48.1,948.75,"1,295.15",619.3,10.92,6.104
2006-05-01,48.4,945.7,"1,317.70",649,12.505,6.384
2006-04-01,49.92,943.2,"1,419.73",657.7,13.63,6.555
2006-03-01,45.54,971.6,"1,359.60",586.7,11.56,7.21
2006-02-01,45.85,971,"1,371.59",566.5,9.805,6.714
2006-01-01,44.23,959.87,"1,399.83",575.5,9.915,9.316
2005-12-01,46.15,"1,007.50","1,379.37",521.2,8.89,11.225
2005-11-01,45.89,"1,037.50","1,297.44",498.7,8.35,12.587
2005-10-01,43.74,"1,043.40","1,158.11",468.8,7.598,12.205
2005-09-01,42.1,"1,043.50","1,221.01",472.3,7.512,13.921
2005-08-01,43.03,"1,038.50","1,083.33",436.6,6.835,11.472
2005-07-01,43.6,"1,023.30","1,111.29",432.8,7.296,7.885
2005-06-01,45.61,"1,035.50","1,008.16",438.6,7.075,6.981
2005-05-01,46.32,"1,007.50",970.21,418.9,7.472,6.379
2005-04-01,45.04,997.1,911.3,437.4,6.94,6.585
2005-03-01,44.1,"1,017.50",965.68,431.1,7.21,7.653
2005-02-01,46.65,"1,004.50","1,011.36",438.8,7.395,6.73
2005-01-01,46.37,"1,026.50",932.7,424.1,6.762,6.321
2004-12-01,46.99,"1,035.20",895.92,439.4,6.837,6.149
2004-11-01,46.27,"1,048.50",878.06,453.2,7.758,7.62
2004-10-01,44.79,"1,119.50",834.84,430.3,7.32,8.725
2004-09-01,43.33,"1,151.50",835.09,420.4,6.938,6.795
2004-08-01,44.98,"1,151.85",803.57,411.7,6.8,5.074
2004-07-01,42.51,"1,166.50",735.34,392.4,6.575,6.112
2004-06-01,42.31,"1,154.50",785.79,393.6,5.795,6.155
2004-05-01,41.56,"1,160.05",803.84,394.9,6.118,6.442
2004-04-01,40.24,"1,173.35",862.84,388,6.079,5.862
2004-03-01,40.49,"1,143.00",880.5,428.3,7.95,5.933
2004-02-01,40.96,"1,178.50",883.42,397.3,6.715,5.416
2004-01-01,40.73,"1,171.50",848.5,402.9,6.256,5.397
2003-12-01,40.22,"1,192.50",810.71,416.6,5.965,6.189
2003-11-01,37.72,"1,202.05",796.18,398,5.373,4.925
2003-10-01,37.87,"1,183.50",782.36,385.1,5.068,4.893
2003-09-01,39.02,"1,149.00",697.52,386.1,5.142,4.83
2003-08-01,39.62,"1,174.50",759.47,376.3,5.122,4.731
2003-07-01,41.28,"1,180.50",713.52,355,5.123,4.718
2003-06-01,39.52,"1,195.00",669.93,346.7,4.564,5.411
2003-05-01,37.1,"1,209.00",633.42,365.6,4.539,6.251
2003-04-01,37.02,"1,214.50",599.35,339.8,4.652,5.385
2003-03-01,33.42,"1,251.00",535.7,336.9,4.475,5.06
2003-02-01,34.62,"1,193.65",575.43,350.7,4.592,8.101
2003-01-01,35.02,"1,164.00",591.86,369.1,4.866,5.605
2002-12-01,34.78,"1,186.05",627.55,348.6,4.812,4.789
2002-11-01,35.04,"1,202.85",724.8,317.8,4.427,4.2
2002-10-01,34.9,"1,224.00",658.92,318.8,4.514,4.156
2002-09-01,31.9,"1,222.70",646.42,325.2,4.548,4.138
2002-08-01,35.04,"1,196.90",736.4,313.3,4.452,3.296
2002-07-01,33.25,"1,178.00",717.99,304.2,4.612,2.954
2002-06-01,35.18,"1,203.00",742.72,314.4,4.855,3.245
2002-05-01,37.91,"1,214.30",796.4,327.5,5.052,3.217
2002-04-01,36.24,"1,289.00",842.34,309.8,4.555,3.795
2002-03-01,34.01,"1,320.90",895.58,303.7,4.656,3.283
2002-02-01,31.98,"1,318.80",819.99,297.6,4.517,2.357
2002-01-01,31.52,"1,309.40",748.07,282.9,4.23,2.138
2001-12-01,31.48,"1,313.50",693.7,279.3,4.588,2.57
2001-11-01,30.69,"1,268.00",643.89,274.9,4.157,2.701
2001-10-01,29.5,"1,291.00",537.81,280.8,4.239,3.291
2001-09-01,29.2,"1,304.00",479.68,294,4.675,2.244
2001-08-01,30.75,"1,280.00",545.11,275.8,4.193,2.38
2001-07-01,31.81,"1,298.00",541.55,267.9,4.243,3.296
2001-06-01,30.02,"1,300.50",595.13,272,4.327,3.096
2001-05-01,29.62,"1,281.00",612.16,266.9,4.428,3.914
2001-04-01,28,"1,317.00",577.36,264.9,4.358,4.695
2001-03-01,27.38,"1,331.00",523.22,259.2,4.315,5.025
2001-02-01,25.35,"1,253.95",578.1,268.9,4.515,5.236
2001-01-01,26.91,"1,257.00",617.91,268,4.858,5.707
2000-12-01,22.94,"1,265.00",504.62,274.9,4.635,9.775
2000-11-01,19.97,"1,215.50",509.23,273.3,4.733,6.589
2000-10-01,24.03,"1,137.50",514.48,267.7,4.796,4.49
2000-09-01,26.19,"1,115.15",613.22,276.9,4.948,5.186
2000-08-01,26.79,"1,108.75",688.62,280.8,5.022,4.782
2000-07-01,23.69,"1,116.75",705.97,280.2,5.091,3.774
2000-06-01,21.5,"1,115.03",821.22,293,5.083,4.476
2000-05-01,27.72,"1,129.50",731.88,274.8,4.987,4.356
2000-04-01,24.5,"1,109.75",725.39,276,5.015,3.141
2000-03-01,26.22,"1,105.25",860.94,281.4,5.062,2.945
2000-02-01,23,"1,131.11",828.38,295.4,5.108,2.761
2000-01-01,24.22,"1,123.50",943.88,286.2,5.321,2.662
