date,BAC,dollar exchange rate,KOSPI,gold price,silver price,natural gas price
2021-03-01,38.69,1127.17,3061.42,1717.5,25.965,2.608
2021-02-01,34.71,1123.89,3012.95,1731.6,27.862,2.771
2021-01-01,29.65,1117.64,2976.21,1852.7,27.688,2.564
2020-12-01,30.31,1084.47,2873.47,1899.6,27.228,2.539
2020-11-01,28.16,1109.32,2591.34,1784.8,23.464,2.882
2020-10-01,23.7,1136.49,2267.15,1887.2,24.761,3.354
2020-09-01,24.09,1164.65,2327.89,1902.6,24.595,2.527
2020-08-01,25.74,1187.94,2326.17,1978.6,29.744,2.63
2020-07-01,24.88,1193.59,2249.37,1985.9,25.77,1.799
2020-06-01,23.75,1199.28,2108.33,1810.0,19.753,1.751
2020-05-01,24.12,1231.49,2029.6,1760.7,19.473,1.849
2020-04-01,24.05,1212.94,1947.56,1701.0,15.953,1.949
2020-03-01,21.23,1218.3,1754.64,1596.6,15.016,1.64
2020-02-01,28.5,1200.2,1987.01,1571.8,17.57,1.684
2020-01-01,32.83,1194.97,2119.01,1593.8,19.224,1.841
2019-12-01,35.22,1154.07,2197.67,1529.3,19.156,2.189
2019-11-01,33.32,1180.7,2087.96,1478.1,18.378,2.281
2019-10-01,31.27,1169.24,2083.48,1521.8,19.451,2.633
2019-09-01,29.17,1198.09,2063.05,1479.6,18.395,2.33
2019-08-01,27.51,1209.5,1967.79,1529.4,19.567,2.285
2019-07-01,30.68,1187.32,2024.55,1437.8,17.852,2.233
2019-06-01,29.0,1155.38,2130.62,1419.6,16.741,2.308
2019-05-01,26.6,1187.8,2041.74,1316.9,16.187,2.454
2019-04-01,30.58,1163.25,2203.59,1291.7,16.857,2.575
2019-03-01,27.59,1136.1,2140.67,1304.5,17.031,2.662
2019-02-01,29.08,1124.6,2195.44,1322.7,17.71,2.812
2019-01-01,28.47,1111.4,2204.85,1331.6,18.231,2.814
2018-12-01,24.64,1113.3,2041.04,1287.7,17.699,2.94
2018-11-01,28.4,1119.44,2096.86,1231.8,14.18,4.612
2018-10-01,27.5,1141.02,2029.69,1220.8,14.324,3.261
2018-09-01,29.46,1109.98,2343.07,1201.9,14.712,3.008
2018-08-01,30.93,1115.46,2322.88,1206.7,14.517,2.916
2018-07-01,30.88,1112.25,2295.26,1233.6,15.597,2.782
2018-06-01,28.19,1113.91,2326.13,1260.2,16.198,2.924
2018-05-01,29.04,1079.59,2423.01,1310.8,16.503,2.952
2018-04-01,29.92,1069.33,2515.38,1325.3,16.401,2.763
2018-03-01,29.99,1060.25,2445.85,1333.3,16.312,2.733
2018-02-01,32.1,1084.21,2427.36,1323.7,16.407,2.667
2018-01-01,32.0,1069.08,2566.46,1348.4,17.284,2.995
2017-12-01,29.52,1066.37,2467.49,1314.0,17.145,2.953
2017-11-01,28.17,1087.13,2476.37,1281.1,16.445,3.025
2017-10-01,27.39,1117.42,2523.43,1274.7,16.726,2.896
2017-09-01,25.34,1144.29,2394.47,1288.9,16.676,3.007
2017-08-01,23.89,1123.85,2363.19,1322.2,17.541,3.04
2017-07-01,24.12,1118.4,2402.71,1273.4,16.835,2.794
2017-06-01,24.26,1144.43,2391.79,1246.0,16.627,3.035
2017-05-01,22.41,1118.65,2347.38,1279.0,17.443,3.071
2017-04-01,23.34,1136.87,2205.44,1271.7,17.262,3.276
2017-03-01,23.59,1116.65,2160.23,1254.5,18.294,3.19
2017-02-01,24.68,1136.39,2091.64,1257.2,18.469,2.774
2017-01-01,22.64,1150.65,2067.57,1214.5,17.577,3.117
2016-12-01,22.1,1206.25,2026.46,1154.3,15.989,3.724
2016-11-01,21.12,1176.39,1983.48,1177.0,16.454,3.352
2016-10-01,16.5,1141.73,2008.19,1276.9,17.835,3.026
2016-09-01,15.65,1100.91,2043.63,1320.9,19.214,2.906
2016-08-01,16.14,1115.29,2034.65,1311.4,18.675,2.887
2016-07-01,14.49,1110.89,2016.19,1357.5,20.393,2.876
2016-06-01,13.27,1150.99,1970.35,1324.0,18.623,2.924
2016-05-01,14.79,1188.39,1983.4,1220.3,16.018,2.288
2016-04-01,14.56,1143.83,1994.15,1292.6,17.819,2.178
2016-03-01,13.52,1143.97,1995.85,1237.0,15.483,1.959
2016-02-01,12.52,1237.24,1916.66,1235.1,14.918,1.711
2016-01-01,14.14,1207.11,1912.06,1116.8,14.255,2.298
2015-12-01,16.83,1174.95,1961.31,1060.8,13.803,2.337
2015-11-01,17.43,1159.61,1991.97,1066.0,14.072,2.235
2015-10-01,16.78,1140.16,2029.47,1142.3,15.584,2.321
2015-09-01,15.58,1184.44,1962.81,1116.0,14.518,2.524
2015-08-01,16.34,1181.82,1941.49,1132.5,14.581,2.689
2015-07-01,17.88,1165.67,2030.16,1095.1,14.765,2.716
2015-06-01,17.02,1119.03,2074.2,1172.8,15.581,2.832
2015-05-01,16.5,1112.01,2114.8,1190.7,16.721,2.642
2015-04-01,15.93,1076.34,2127.17,1183.4,16.153,2.751
2015-03-01,15.39,1107.99,2041.03,1184.1,16.619,2.64
2015-02-01,15.81,1100.53,1985.8,1214.0,16.558,2.734
2015-01-01,15.15,1101.4,1949.26,1280.0,17.228,2.691
2014-12-01,17.89,1092.9,1915.59,1184.9,15.599,2.889
2014-11-01,17.04,1112.45,1980.78,1176.0,15.547,4.088
2014-10-01,17.16,1072.6,1964.43,1172.4,16.126,3.873
2014-09-01,17.05,1054.55,2020.09,1212.3,17.057,4.121
2014-08-01,16.09,1013.85,2068.54,1287.4,19.454,4.065
2014-07-01,15.25,1027.75,2076.12,1282.8,20.432,3.841
2014-06-01,15.37,1011.5,2002.21,1322.4,21.056,4.461
2014-05-01,15.14,1020.3,1994.96,1246.3,18.7,4.542
2014-04-01,15.14,1032.75,1961.79,1296.0,19.174,4.815
2014-03-01,17.2,1064.65,1985.61,1284.1,19.765,4.371
2014-02-01,16.53,1066.01,1979.99,1321.9,21.241,4.609
2014-01-01,16.75,1080.36,1941.15,1240.3,19.138,4.943
2013-12-01,15.57,1049.5,2011.34,1203.0,19.37,4.23
2013-11-01,15.82,1057.76,2044.87,1251.3,20.016,3.954
2013-10-01,13.97,1060.83,2030.09,1324.5,21.882,3.581
2013-09-01,13.8,1073.58,1996.96,1327.7,21.708,3.56
2013-08-01,14.12,1109.42,1926.36,1396.1,23.495,3.581
2013-07-01,14.6,1123.25,1914.03,1313.0,19.643,3.446
2013-06-01,12.86,1141.45,1863.32,1224.8,19.47,3.565
2013-05-01,13.66,1130.51,2001.05,1394.2,22.265,3.984
2013-04-01,12.31,1101.16,1963.95,1473.5,24.185,4.343
2013-03-01,12.18,1111.05,2004.89,1597.4,28.353,4.024
2013-02-01,11.23,1083.9,2026.49,1579.8,28.432,3.486
2013-01-01,11.32,1087.31,1961.94,1662.0,31.38,3.339
2012-12-01,11.61,1063.24,1997.05,1676.9,30.227,3.351
2012-11-01,9.86,1081.5,1932.9,1712.7,33.254,3.561
2012-10-01,9.32,1089.92,1912.06,1720.2,32.342,3.692
2012-09-01,8.83,1113.07,1996.21,1773.9,34.577,3.32
2012-08-01,7.99,1133.19,1905.12,1686.4,31.417,2.799
2012-07-01,7.34,1130.27,1881.99,1612.4,27.941,3.209
2012-06-01,8.18,1140.72,1854.01,1605.3,27.612,2.824
2012-05-01,7.35,1179.87,1843.47,1564.2,27.785,2.422
2012-04-01,8.11,1129.55,1981.99,1665.3,31.016,2.285
2012-03-01,9.57,1131.4,2014.04,1671.9,32.513,2.126
2012-02-01,7.97,1118.8,2030.25,1712.6,34.642,2.616
2012-01-01,7.13,1125.45,1955.79,1740.4,33.29,2.503
2011-12-01,5.56,1158.5,1825.74,1568.0,27.915,2.989
2011-11-01,5.44,1140.05,1847.51,1750.3,32.777,3.55
2011-10-01,6.83,1111.85,1909.03,1726.2,34.37,3.934
2011-09-01,6.12,1180.9,1769.65,1622.3,30.083,3.666
2011-08-01,8.17,1064.9,1880.11,1830.3,41.727,4.054
2011-07-01,9.71,1054.0,2133.21,1629.9,40.114,4.145
2011-06-01,10.96,1066.3,2100.69,1503.3,34.832,4.374
2011-05-01,11.75,1078.0,2142.47,1536.8,38.317,4.666
2011-04-01,12.28,1068.0,2192.36,1557.0,48.599,4.698
2011-03-01,13.33,1095.5,2106.7,1439.9,37.9,4.389
2011-02-01,14.29,1124.65,1939.3,1410.6,33.82,4.037
2011-01-01,13.73,1119.25,2069.73,1334.5,28.179,4.42
2010-12-01,13.34,1120.5,2051.0,1422.5,30.937,4.405
2010-11-01,10.95,1157.0,1904.63,1386.1,28.199,4.18
2010-10-01,11.45,1124.5,1882.95,1358.7,24.585,4.038
2010-09-01,13.1,1140.25,1872.81,1309.6,21.821,3.872
2010-08-01,12.46,1199.0,1742.75,1249.6,19.418,3.816
2010-07-01,14.04,1182.75,1759.33,1182.4,18.02,4.923
2010-06-01,14.37,1223.25,1698.29,1246.9,18.708,4.616
2010-05-01,15.74,1202.12,1641.25,1215.0,18.44,4.341
2010-04-01,17.83,1108.5,1741.56,1181.4,18.639,3.92
2010-03-01,17.85,1132.8,1692.85,1114.5,17.54,3.869
2010-02-01,16.66,1160.0,1594.58,1119.5,16.521,4.813
2010-01-01,15.18,1158.9,1602.43,1083.8,16.2,5.131
2009-12-01,15.06,1166.08,1682.77,1096.9,16.845,5.572
2009-11-01,15.85,1163.4,1555.6,1182.3,18.517,4.848
2009-10-01,14.58,1186.6,1580.69,1040.9,16.265,5.045
2009-09-01,16.92,1176.5,1673.14,1009.3,16.658,4.841
2009-08-01,17.59,1249.5,1591.85,952.8,14.914,2.977
2009-07-01,14.79,1222.7,1557.29,954.5,13.96,3.653
2009-06-01,13.2,1274.8,1390.07,928.1,13.6,3.835
2009-05-01,11.27,1258.25,1395.89,980.3,15.622,3.835
2009-04-01,8.93,1278.0,1369.36,892.0,12.325,3.373
2009-03-01,6.82,1374.05,1206.26,925.0,12.999,3.776
2009-02-01,3.95,1533.45,1063.03,943.5,13.11,4.198
2009-01-01,6.58,1381.5,1162.11,928.4,12.575,4.417
2008-12-01,14.08,1263.0,1124.47,884.8,11.295,5.622
2008-11-01,16.25,1469.0,1076.07,819.0,10.208,6.51
2008-10-01,24.17,1282.5,1113.06,718.9,9.733,6.783
2008-09-01,35.0,1206.95,1448.06,880.8,12.275,7.438
2008-08-01,31.14,1089.25,1474.24,833.2,13.671,7.943
2008-07-01,32.9,1012.25,1594.67,918.0,17.841,9.119
2008-06-01,23.87,1051.0,1674.92,930.6,17.51,13.353
2008-05-01,34.01,1028.25,1852.02,891.5,16.913,11.703
2008-04-01,37.54,1003.0,1825.47,867.2,16.593,10.843
2008-03-01,37.91,990.35,1703.99,921.5,17.355,10.101
2008-02-01,39.74,939.05,1711.62,977.5,19.915,9.366
2008-01-01,44.15,943.85,1624.68,928.0,17.041,8.074
2007-12-01,41.26,936.0,1897.13,841.2,14.92,7.483
2007-11-01,46.13,921.15,1906.0,789.1,14.097,7.302
2007-10-01,48.28,900.8,2064.85,798.5,14.494,8.33
2007-09-01,50.27,915.15,1946.48,750.0,13.92,6.87
2007-08-01,50.68,938.35,1873.24,678.8,12.162,5.468
2007-07-01,47.42,919.35,1933.27,673.0,13.072,6.191
2007-06-01,48.89,923.9,1743.6,653.9,12.473,6.773
2007-05-01,50.71,927.75,1700.91,666.7,13.538,7.935
2007-04-01,50.9,930.85,1542.24,686.7,13.575,7.863
2007-03-01,51.02,940.85,1452.55,669.0,13.51,7.73
2007-02-01,50.83,941.7,1417.34,675.6,14.235,7.3
2007-01-01,52.58,941.5,1360.23,657.9,13.632,7.667
2006-12-01,53.39,930.0,1434.46,641.1,12.935,6.299
2006-11-01,53.85,929.35,1432.21,652.9,14.052,8.844
2006-10-01,53.87,942.25,1364.55,609.8,12.322,7.534
2006-09-01,53.57,946.25,1371.41,604.2,11.54,5.62
2006-08-01,51.47,961.3,1352.74,631.2,13.002,6.048
2006-07-01,51.53,955.15,1297.82,640.4,11.39,8.211
2006-06-01,48.1,948.75,1295.15,619.3,10.92,6.104
2006-05-01,48.4,945.7,1317.7,649.0,12.505,6.384
2006-04-01,49.92,943.2,1419.73,657.7,13.63,6.555
2006-03-01,45.54,971.6,1359.6,586.7,11.56,7.21
2006-02-01,45.85,971.0,1371.59,566.5,9.805,6.714
2006-01-01,44.23,959.87,1399.83,575.5,9.915,9.316
2005-12-01,46.15,1007.5,1379.37,521.2,8.89,11.225
2005-11-01,45.89,1037.5,1297.44,498.7,8.35,12.587
2005-10-01,43.74,1043.4,1158.11,468.8,7.598,12.205
2005-09-01,42.1,1043.5,1221.01,472.3,7.512,13.921
2005-08-01,43.03,1038.5,1083.33,436.6,6.835,11.472
2005-07-01,43.6,1023.3,1111.29,432.8,7.296,7.885
2005-06-01,45.61,1035.5,1008.16,438.6,7.075,6.981
2005-05-01,46.32,1007.5,970.21,418.9,7.472,6.379
2005-04-01,45.04,997.1,911.3,437.4,6.94,6.585
2005-03-01,44.1,1017.5,965.68,431.1,7.21,7.653
2005-02-01,46.65,1004.5,1011.36,438.8,7.395,6.73
2005-01-01,46.37,1026.5,932.7,424.1,6.762,6.321
2004-12-01,46.99,1035.2,895.92,439.4,6.837,6.149
2004-11-01,46.27,1048.5,878.06,453.2,7.758,7.62
2004-10-01,44.79,1119.5,834.84,430.3,7.32,8.725
2004-09-01,43.33,1151.5,835.09,420.4,6.938,6.795
2004-08-01,44.98,1151.85,803.57,411.7,6.8,5.074
2004-07-01,42.51,1166.5,735.34,392.4,6.575,6.112
2004-06-01,42.31,1154.5,785.79,393.6,5.795,6.155
2004-05-01,41.56,1160.05,803.84,394.9,6.118,6.442
2004-04-01,40.24,1173.35,862.84,388.0,6.079,5.862
2004-03-01,40.49,1143.0,880.5,428.3,7.95,5.933
2004-02-01,40.96,1178.5,883.42,397.3,6.715,5.416
2004-01-01,40.73,1171.5,848.5,402.9,6.256,5.397
2003-12-01,40.22,1192.5,810.71,416.6,5.965,6.189
2003-11-01,37.72,1202.05,796.18,398.0,5.373,4.925
2003-10-01,37.87,1183.5,782.36,385.1,5.068,4.893
2003-09-01,39.02,1149.0,697.52,386.1,5.142,4.83
2003-08-01,39.62,1174.5,759.47,376.3,5.122,4.731
2003-07-01,41.28,1180.5,713.52,355.0,5.123,4.718
2003-06-01,39.52,1195.0,669.93,346.7,4.564,5.411
2003-05-01,37.1,1209.0,633.42,365.6,4.539,6.251
2003-04-01,37.02,1214.5,599.35,339.8,4.652,5.385
2003-03-01,33.42,1251.0,535.7,336.9,4.475,5.06
2003-02-01,34.62,1193.65,575.43,350.7,4.592,8.101
2003-01-01,35.02,1164.0,591.86,369.1,4.866,5.605
2002-12-01,34.78,1186.05,627.55,348.6,4.812,4.789
2002-11-01,35.04,1202.85,724.8,317.8,4.427,4.2
2002-10-01,34.9,1224.0,658.92,318.8,4.514,4.156
2002-09-01,31.9,1222.7,646.42,325.2,4.548,4.138
2002-08-01,35.04,1196.9,736.4,313.3,4.452,3.296
2002-07-01,33.25,1178.0,717.99,304.2,4.612,2.954
2002-06-01,35.18,1203.0,742.72,314.4,4.855,3.245
2002-05-01,37.91,1214.3,796.4,327.5,5.052,3.217
2002-04-01,36.24,1289.0,842.34,309.8,4.555,3.795
2002-03-01,34.01,1320.9,895.58,303.7,4.656,3.283
2002-02-01,31.98,1318.8,819.99,297.6,4.517,2.357
2002-01-01,31.52,1309.4,748.07,282.9,4.23,2.138
2001-12-01,31.48,1313.5,693.7,279.3,4.588,2.57
2001-11-01,30.69,1268.0,643.89,274.9,4.157,2.701
2001-10-01,29.5,1291.0,537.81,280.8,4.239,3.291
2001-09-01,29.2,1304.0,479.68,294.0,4.675,2.244
2001-08-01,30.75,1280.0,545.11,275.8,4.193,2.38
2001-07-01,31.81,1298.0,541.55,267.9,4.243,3.296
2001-06-01,30.02,1300.5,595.13,272.0,4.327,3.096
2001-05-01,29.62,1281.0,612.16,266.9,4.428,3.914
2001-04-01,28.0,1317.0,577.36,264.9,4.358,4.695
2001-03-01,27.38,1331.0,523.22,259.2,4.315,5.025
2001-02-01,25.35,1253.95,578.1,268.9,4.515,5.236
2001-01-01,26.91,1257.0,617.91,268.0,4.858,5.707
2000-12-01,22.94,1265.0,504.62,274.9,4.635,9.775
2000-11-01,19.97,1215.5,509.23,273.3,4.733,6.589
2000-10-01,24.03,1137.5,514.48,267.7,4.796,4.49
2000-09-01,26.19,1115.15,613.22,276.9,4.948,5.186
2000-08-01,26.79,1108.75,688.62,280.8,5.022,4.782
2000-07-01,23.69,1116.75,705.97,280.2,5.091,3.774
2000-06-01,21.5,1115.03,821.22,293.0,5.083,4.476
2000-05-01,27.72,1129.5,731.88,274.8,4.987,4.356
2000-04-01,24.5,1109.75,725.39,276.0,5.015,3.141
2000-03-01,26.22,1105.25,860.94,281.4,5.062,2.945
2000-02-01,23.0,1131.11,828.38,295.4,5.108,2.761
2000-01-01,24.22,1123.5,943.88,286.2,5.321,2.662
