瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥绊扁柯(∑C),弥历扁柯(∑C),岿钦碍荐樊(00~24h父)(mm)
159,何魂,2016-02,5.5,15.8,-4,63.7
159,何魂,2016-03,9.9,19.6,-4.3,133.5
159,何魂,2016-04,15.1,24.2,8,198.5
159,何魂,2016-05,19.3,30.5,11.5,108.8
159,何魂,2016-06,21.9,28.7,15.7,115.2
159,何魂,2016-07,25.3,32.7,19.5,188.8
159,何魂,2016-08,27.7,37.3,17.5,141.5
159,何魂,2016-09,22.9,29.7,17.1,407.9
159,何魂,2016-10,18.7,28.3,9.8,182.4
159,何魂,2016-11,11.8,20.8,.1,56.6
159,何魂,2016-12,7.3,17.6,-3.2,103.8
159,何魂,2017-01,4.1,15.1,-7.7,12
159,何魂,2017-02,5.5,17.7,-5.7,33.8
159,何魂,2017-03,9,18.1,-2.3,35.7
159,何魂,2017-04,15,23.2,5,105.1
159,何魂,2017-05,19,28.2,12.8,39.2
159,何魂,2017-06,21.3,30.4,15.4,49.8
159,何魂,2017-07,26.1,32.7,21.2,172.1
159,何魂,2017-08,27,36.2,18.7,82.5
159,何魂,2017-09,22.6,29.7,14.5,335
159,何魂,2017-10,18.1,28.7,7.3,138.3
159,何魂,2017-11,11.2,23.6,-1,.3
159,何魂,2017-12,3.6,14.5,-6.1,10.6
159,何魂,2018-01,1.9,14,-9.9,40.9
159,何魂,2018-02,3.9,14.7,-9.6,52.5
159,何魂,2018-03,10,22.3,-.7,206.1
159,何魂,2018-04,14.5,24.3,3,156.4
159,何魂,2018-05,17.8,26.6,9.8,155.8
159,何魂,2018-06,21.5,31.3,15.1,276.7
159,何魂,2018-07,26.7,35.4,17.8,122.1
159,何魂,2018-08,27.9,36.4,21.2,169.7
159,何魂,2018-09,21.9,30,14.9,308.4
159,何魂,2018-10,16.4,25.6,7.9,123.7
159,何魂,2018-11,12.4,22.5,2.7,107.3
159,何魂,2018-12,5.7,18.8,-7.1,59
159,何魂,2019-01,4.5,13.7,-4.4,12.7
159,何魂,2019-02,6.6,16.5,-4.2,51.5
159,何魂,2019-03,10.5,21,.5,75.4
159,何魂,2019-04,13.4,23.4,2.1,85
159,何魂,2019-05,19.3,30.1,11,76.1
159,何魂,2019-06,21.1,29.7,15.5,324.3
159,何魂,2019-07,24.3,30.9,19.8,358.9
159,何魂,2019-08,27,35,20.3,156.3
159,何魂,2019-09,23.1,30.5,15.8,279
159,何魂,2019-10,18.6,28.8,10.4,139.9
159,何魂,2019-11,13,24,2,13.8
159,何魂,2019-12,7,16.6,-2.8,50.3
159,何魂,2020-01,6.4,17.7,-3.2,127.7
159,何魂,2020-02,7.1,18.1,-5,94.9
159,何魂,2020-03,10.4,18.2,-.3,58.8
159,何魂,2020-04,12.6,24.4,4.4,83.5
159,何魂,2020-05,17.9,26,12.2,96.2
159,何魂,2020-06,22.4,30.7,16.8,321.1
159,何魂,2020-07,22.1,30.6,17.8,796.8
159,何魂,2020-08,27.2,33.2,23.4,399.2
159,何魂,2020-09,21.9,30.6,15.5,230.5
159,何魂,2020-10,17.3,25.9,7,26.4
159,何魂,2020-11,12.4,23.3,1.1,36.3
159,何魂,2020-12,4.3,15,-8,10.2
159,何魂,2021-01,3.3,15.7,-12.2,25.8
159,何魂,2021-02,7.2,19.3,-7.2,49.5
159,何魂,2021-03,11.4,21.6,1.6,127.5
159,何魂,2021-04,14.7,26.5,6.3,107.1
159,何魂,2021-05,17.7,26.5,8.6,139.2
159,何魂,2021-06,21.9,30.9,16.6,232.3
159,何魂,2021-07,26.3,32.4,20.8,399.9
159,何魂,2021-08,26.2,35.6,20.4,481.2
159,何魂,2021-09,22.9,28.8,18.9,164.7
159,何魂,2021-10,18.7,28.4,5.5,18.2
159,何魂,2021-11,12.5,22.3,3.6,57.9
159,何魂,2021-12,6,17.8,-8.6,4.5
159,何魂,2022-01,4,13.2,-6.1,0
159,何魂,2022-02,3.6,15.2,-7.5,0
159,何魂,2022-03,10.5,20.1,-.8,127.4
159,何魂,2022-04,14.9,23.6,5.6,130.6
159,何魂,2022-05,19,27.4,8.3,5.4
159,何魂,2022-06,21.7,28.6,14.7,152
159,何魂,2022-07,26.2,32.9,20.1,145
159,何魂,2022-08,26.4,33.1,19.5,176.7
159,何魂,2022-09,22.9,31,15.4,162.4
159,何魂,2022-10,17.6,30.8,8.1,9.7
159,何魂,2022-11,14.4,24.2,-.8,61.3
159,何魂,2022-12,3.3,16.4,-6.5,21.4
184,力林,2013-01,5.6,17.4,-1.6,20.5
184,力林,2013-02,6.2,19,-1.8,60.5
184,力林,2013-03,10,28.1,2.3,55.2
184,力林,2013-04,13.5,26.4,5.7,94.5
184,力林,2013-05,18.6,27.8,10.2,59.7
184,力林,2013-06,21.7,30.8,16.3,160.5
184,力林,2013-07,28.7,36.3,20,14.7
184,力林,2013-08,29.1,35.7,22.2,74.2
184,力林,2013-09,24,29.9,16.3,82.1
184,力林,2013-10,19.2,27.1,10.6,113.3
184,力林,2013-11,12.9,23.2,3.4,82.1
184,力林,2013-12,8.1,17.2,1.8,41.8
184,力林,2014-01,6.8,17.4,.1,50.2
184,力林,2014-02,7.5,20.6,.1,137.5
184,力林,2014-03,10.7,20.9,1.8,88.4
184,力林,2014-04,14.8,24.6,7.6,52.3
184,力林,2014-05,19.1,29.6,10.1,86.7
184,力林,2014-06,21.8,29.7,17.3,65.4
184,力林,2014-07,25.1,35.2,20,288.7
184,力林,2014-08,25.1,30,20.9,460.3
184,力林,2014-09,23.5,29.1,18.1,93.5
184,力林,2014-10,19.1,27.9,12.1,92.9
184,力林,2014-11,13.9,22.5,6.9,100.3
184,力林,2014-12,7.3,14.7,1.1,47.2
184,力林,2015-01,7.4,17.5,1.2,82.4
184,力林,2015-02,7.3,17.3,-.7,35.5
184,力林,2015-03,10.4,22.2,.2,80.7
184,力林,2015-04,15.1,27.7,7,147.9
184,力林,2015-05,18.8,29.4,11,150
184,力林,2015-06,22,30.6,15.3,186.4
184,力林,2015-07,25.6,36.7,19.1,329.7
184,力林,2015-08,26.4,35.5,20.4,248.6
184,力林,2015-09,23.2,28.6,18.4,172.9
184,力林,2015-10,19.2,27.5,11.7,31
184,力林,2015-11,15.2,23.8,3.1,173.2
184,力林,2015-12,10,20.1,2.3,90
184,力林,2016-01,6.1,16.8,-5.8,125.6
184,力林,2016-02,7.3,20.5,-.4,40
184,力林,2016-03,10.8,22.5,1,96.9
184,力林,2016-04,15.6,24.5,9.8,121.4
184,力林,2016-05,18.9,30.4,11.8,113
184,力林,2016-06,22.2,30.2,16.7,162.7
184,力林,2016-07,27.4,35.5,22.3,98.6
184,力林,2016-08,28.5,34.4,19.9,75.6
184,力林,2016-09,23.9,33,18.9,172.3
184,力林,2016-10,20.1,32.1,12.2,282.4
184,力林,2016-11,13.7,23.2,6.7,71.3
184,力林,2016-12,9.5,22.3,3.1,56.6
184,力林,2017-01,6.6,14.8,.7,50.7
184,力林,2017-02,6.8,18.9,-1.1,39.1
184,力林,2017-03,9.8,17.9,3,48.2
184,力林,2017-04,15.7,27.6,8.5,51.4
184,力林,2017-05,19.5,28.1,13.6,38.5
184,力林,2017-06,22,28,16.7,60.7
184,力林,2017-07,29.2,37,23.1,35.2
184,力林,2017-08,28.7,35.7,22.1,159.5
184,力林,2017-09,24,32.1,18,83.4
184,力林,2017-10,19.3,27.4,9.8,162
184,力林,2017-11,12.6,24.2,5,19.2
184,力林,2017-12,7.2,15.1,.7,25.4
184,力林,2018-01,4.9,14.4,-2.6,58
184,力林,2018-02,5.5,17.5,-2.5,86.6
184,力林,2018-03,11.4,23.2,2.8,118
184,力林,2018-04,15.9,26.1,5.3,112.5
184,力林,2018-05,19.1,31.1,12,98.8
184,力林,2018-06,22.3,32.3,16.2,211.1
184,力林,2018-07,27.3,35,19.6,48.7
184,力林,2018-08,28.8,35.3,24.4,376.5
184,力林,2018-09,23.9,31.2,18.5,187.7
184,力林,2018-10,17.9,24.7,11.6,347
184,力林,2018-11,13.9,20.5,7.3,28.6
184,力林,2018-12,8.7,22.9,.2,96
184,力林,2019-01,6.4,12.6,2,24.2
184,力林,2019-02,7.4,18.4,1,37.9
184,力林,2019-03,10.8,22,3.6,55.5
184,力林,2019-04,14.7,25,6.2,46.4
184,力林,2019-05,20,33.1,11.9,42.8
184,力林,2019-06,21.5,29.8,15.9,145.8
184,力林,2019-07,25.2,35.4,20.4,510.1
184,力林,2019-08,27.7,34.7,20.8,242.3
184,力林,2019-09,24,30.4,16.7,610.6
184,力林,2019-10,19.7,27.3,11.9,188.6
184,力林,2019-11,14.6,24.3,6.9,27.5
184,力林,2019-12,9.7,18.7,1.8,48.2
184,力林,2020-01,8.9,23.6,2.4,116.7
184,力林,2020-02,9.1,21.8,.5,29.8
184,力林,2020-03,11.5,23.2,2.5,81.6
184,力林,2020-04,13.2,24.8,6,82.3
184,力林,2020-05,18.8,29.5,13.2,20.6
184,力林,2020-06,22.4,30.9,15,221.5
184,力林,2020-07,24.2,34.3,19.2,184.7
184,力林,2020-08,29.4,36.3,24.3,140.4
184,力林,2020-09,22.9,30.7,16.8,400.5
184,力林,2020-10,18.4,25.5,12.1,53.7
184,力林,2020-11,14.1,26.7,7.6,28.2
184,力林,2020-12,7.7,15,-1.4,29.5
184,力林,2021-01,6.8,18.2,-3.1,116.6
184,力林,2021-02,9.4,23.7,-1.2,52.8
184,力林,2021-03,12.5,21.9,4.8,81.1
184,力林,2021-04,15.4,25.9,8.2,58.8
184,力林,2021-05,19,30.9,9.4,100.7
184,力林,2021-06,23.4,31.5,18.4,122.4
184,力林,2021-07,27.8,34.2,22.7,247.1
184,力林,2021-08,27.3,33.8,22.2,227.8
184,力林,2021-09,24.9,33.3,19,493.1
184,力林,2021-10,20.1,31.8,9,32.1
184,力林,2021-11,14,23.2,7,63.8
184,力林,2021-12,8.9,17.4,-.5,31.4
184,力林,2022-01,6.2,14.4,.3,33.6
184,力林,2022-02,5.6,16.2,0,25.1
184,力林,2022-03,11.4,22.3,4.5,96.1
184,力林,2022-04,15.5,26.7,5.6,84
184,力林,2022-05,19.4,29,9.5,9.1
184,力林,2022-06,23.9,34.4,17.3,143.6
184,力林,2022-07,28.4,36,23.2,149
184,力林,2022-08,29.2,37.5,21.2,124.3
184,力林,2022-09,24.1,32.8,17.2,265.8
184,力林,2022-10,18.4,30.6,11.5,22.1
184,力林,2022-11,15.2,27.4,4.1,87.8
184,力林,2022-12,6.9,14.6,-.4,35.3
