성별,나이,직업,이용 횟수,호선,지불방법
여성,30대,자영업,27,5호선,현금
남성,50대,기타,20,2호선,교통카드
남성,20대,자영업,43,1호선,신용카드
남성,20대,학생,3,8호선,신용카드
남성,20대,회사원,6,7호선,현금
남성,30대,회사원,63,2호선,현금
여성,50대,회사원,19,7호선,신용카드
여성,30대,기타,79,1호선,신용카드
여성,50대,학생,76,2호선,신용카드
여성,50대,무직,46,8호선,현금
남성,10대,회사원,93,5호선,현금
남성,60대 이상,회사원,59,6호선,신용카드
남성,30대,기타,45,2호선,교통카드
여성,50대,기타,45,6호선,교통카드
여성,30대,회사원,19,2호선,교통카드
여성,20대,기타,4,4호선,교통카드
남성,10대,자영업,45,8호선,현금
남성,10대,회사원,63,4호선,현금
남성,40대,학생,77,4호선,현금
여성,50대,자영업,94,6호선,신용카드
여성,10대,회사원,58,9호선,교통카드
여성,30대,학생,10,3호선,교통카드
여성,60대 이상,회사원,98,3호선,신용카드
남성,50대,기타,19,8호선,현금
남성,60대 이상,기타,85,6호선,현금
여성,30대,기타,47,2호선,신용카드
남성,30대,학생,42,3호선,교통카드
남성,50대,회사원,99,3호선,현금
남성,20대,학생,74,1호선,신용카드
남성,60대 이상,무직,33,7호선,교통카드
여성,20대,학생,86,1호선,교통카드
남성,50대,자영업,89,1호선,현금
여성,60대 이상,무직,76,8호선,교통카드
여성,60대 이상,무직,96,7호선,신용카드
남성,10대,기타,61,1호선,신용카드
남성,20대,학생,26,4호선,현금
여성,60대 이상,기타,71,5호선,신용카드
남성,50대,학생,83,2호선,교통카드
여성,60대 이상,자영업,80,2호선,신용카드
여성,10대,회사원,72,2호선,현금
남성,20대,학생,52,9호선,교통카드
남성,40대,회사원,4,6호선,현금
여성,10대,무직,77,2호선,교통카드
남성,20대,회사원,55,9호선,현금
남성,60대 이상,기타,36,4호선,신용카드
여성,10대,학생,28,3호선,신용카드
여성,30대,학생,24,6호선,교통카드
남성,60대 이상,회사원,37,8호선,신용카드
여성,10대,학생,96,8호선,교통카드
남성,50대,회사원,60,4호선,현금
여성,40대,학생,56,7호선,신용카드
여성,40대,회사원,50,8호선,신용카드
여성,30대,기타,14,9호선,신용카드
여성,40대,기타,7,3호선,교통카드
여성,10대,자영업,67,8호선,교통카드
남성,60대 이상,학생,55,1호선,교통카드
남성,30대,자영업,45,6호선,현금
여성,30대,회사원,62,2호선,현금
남성,60대 이상,회사원,40,3호선,교통카드
남성,60대 이상,자영업,35,7호선,교통카드
남성,20대,자영업,25,4호선,교통카드
남성,20대,기타,64,1호선,신용카드
여성,60대 이상,회사원,95,7호선,신용카드
남성,10대,기타,21,7호선,현금
남성,20대,기타,7,8호선,현금
여성,40대,자영업,41,9호선,신용카드
남성,60대 이상,무직,16,7호선,현금
여성,30대,자영업,76,9호선,현금
남성,10대,무직,2,5호선,현금
남성,60대 이상,회사원,12,5호선,현금
남성,40대,회사원,38,7호선,신용카드
여성,60대 이상,학생,70,6호선,현금
여성,10대,학생,5,6호선,신용카드
남성,20대,기타,62,9호선,현금
여성,20대,회사원,37,7호선,신용카드
여성,40대,기타,44,5호선,교통카드
여성,30대,자영업,99,5호선,현금
여성,60대 이상,자영업,91,6호선,현금
남성,60대 이상,기타,46,5호선,신용카드
여성,20대,기타,67,4호선,현금
남성,60대 이상,회사원,23,4호선,신용카드
남성,20대,학생,64,8호선,현금
여성,20대,회사원,6,5호선,현금
여성,60대 이상,학생,99,1호선,교통카드
여성,40대,자영업,28,3호선,교통카드
여성,30대,자영업,76,1호선,현금
남성,20대,회사원,36,5호선,교통카드
여성,30대,기타,24,4호선,신용카드
여성,60대 이상,기타,88,1호선,현금
남성,20대,자영업,83,2호선,교통카드
남성,10대,기타,35,4호선,현금
여성,60대 이상,회사원,76,7호선,교통카드
여성,10대,기타,61,9호선,교통카드
남성,10대,학생,59,4호선,신용카드
여성,60대 이상,기타,11,7호선,교통카드
남성,10대,자영업,3,4호선,현금
남성,40대,회사원,68,3호선,교통카드
여성,60대 이상,기타,33,6호선,신용카드
남성,40대,자영업,98,8호선,교통카드
여성,60대 이상,자영업,62,6호선,신용카드
남성,10대,무직,71,1호선,교통카드
남성,10대,무직,49,9호선,신용카드
여성,30대,기타,40,1호선,신용카드
남성,10대,학생,5,2호선,교통카드
여성,20대,자영업,7,7호선,신용카드
여성,20대,자영업,83,1호선,현금
남성,60대 이상,무직,1,4호선,현금
남성,20대,자영업,26,3호선,신용카드
여성,50대,기타,61,8호선,신용카드
남성,10대,무직,87,2호선,현금
여성,60대 이상,무직,57,4호선,교통카드
남성,60대 이상,자영업,12,3호선,현금
남성,50대,학생,50,3호선,교통카드
남성,50대,학생,49,6호선,신용카드
여성,60대 이상,회사원,66,1호선,현금
여성,50대,기타,83,1호선,현금
여성,40대,자영업,98,6호선,교통카드
남성,30대,기타,24,1호선,신용카드
여성,50대,회사원,64,3호선,현금
여성,20대,회사원,96,1호선,교통카드
여성,50대,학생,97,9호선,신용카드
여성,40대,회사원,15,5호선,교통카드
남성,10대,자영업,51,6호선,신용카드
여성,20대,자영업,30,6호선,교통카드
여성,60대 이상,자영업,79,6호선,현금
남성,50대,회사원,59,1호선,현금
여성,10대,기타,57,3호선,신용카드
여성,50대,학생,42,1호선,교통카드
여성,50대,자영업,88,4호선,신용카드
여성,40대,기타,32,1호선,교통카드
여성,20대,회사원,38,2호선,신용카드
남성,40대,자영업,39,7호선,신용카드
남성,10대,학생,1,1호선,신용카드
남성,10대,자영업,60,5호선,현금
남성,30대,기타,82,8호선,신용카드
남성,30대,자영업,8,6호선,교통카드
여성,60대 이상,자영업,43,8호선,신용카드
여성,50대,무직,29,2호선,현금
남성,30대,자영업,75,2호선,신용카드
여성,50대,자영업,6,2호선,현금
남성,30대,무직,36,3호선,신용카드
남성,50대,무직,39,4호선,교통카드
여성,50대,기타,51,1호선,교통카드
여성,60대 이상,기타,67,7호선,신용카드
여성,30대,무직,26,1호선,신용카드
여성,20대,회사원,90,2호선,현금
여성,40대,기타,41,3호선,신용카드
여성,10대,학생,56,6호선,현금
남성,50대,학생,79,5호선,교통카드
남성,50대,자영업,45,2호선,신용카드
남성,50대,학생,67,5호선,신용카드
여성,10대,회사원,76,5호선,신용카드
여성,40대,자영업,96,6호선,신용카드
남성,30대,무직,77,9호선,신용카드
여성,50대,기타,61,9호선,교통카드
남성,30대,회사원,17,6호선,현금
남성,30대,회사원,55,5호선,신용카드
남성,30대,자영업,43,6호선,신용카드
남성,20대,기타,49,1호선,신용카드
남성,10대,학생,15,1호선,현금
남성,40대,학생,47,7호선,교통카드
남성,50대,학생,28,1호선,현금
여성,50대,회사원,100,9호선,교통카드
남성,10대,회사원,65,6호선,현금
남성,20대,무직,21,8호선,현금
남성,30대,학생,99,6호선,현금
여성,50대,학생,25,1호선,신용카드
남성,20대,학생,12,7호선,교통카드
남성,40대,자영업,50,4호선,현금
남성,20대,자영업,93,1호선,신용카드
여성,10대,무직,5,1호선,신용카드
여성,30대,기타,10,3호선,신용카드
남성,50대,기타,48,1호선,신용카드
남성,60대 이상,기타,24,9호선,현금
여성,10대,회사원,31,4호선,교통카드
남성,40대,회사원,55,4호선,신용카드
여성,60대 이상,자영업,61,1호선,현금
여성,10대,학생,79,2호선,현금
여성,20대,학생,93,6호선,신용카드
남성,60대 이상,회사원,76,2호선,교통카드
여성,20대,회사원,2,8호선,신용카드
남성,50대,무직,85,9호선,교통카드
남성,50대,무직,50,7호선,신용카드
남성,40대,기타,96,4호선,현금
여성,50대,기타,80,9호선,신용카드
여성,20대,무직,5,9호선,현금
남성,50대,학생,89,5호선,신용카드
여성,10대,기타,67,6호선,현금
여성,40대,자영업,79,9호선,교통카드
남성,60대 이상,기타,3,8호선,신용카드
남성,10대,무직,32,1호선,신용카드
여성,30대,기타,85,6호선,신용카드
남성,50대,자영업,52,5호선,교통카드
여성,30대,학생,22,5호선,현금
여성,30대,기타,75,8호선,교통카드
남성,40대,학생,61,8호선,신용카드
여성,20대,무직,62,9호선,현금
여성,60대 이상,기타,4,5호선,현금
남성,60대 이상,기타,28,4호선,신용카드
여성,40대,기타,43,2호선,교통카드
여성,40대,무직,26,7호선,교통카드
남성,50대,회사원,78,9호선,현금
남성,10대,학생,53,3호선,신용카드
남성,40대,기타,50,6호선,현금
여성,60대 이상,회사원,36,7호선,교통카드
남성,10대,자영업,32,4호선,신용카드
여성,30대,회사원,5,2호선,현금
남성,10대,기타,27,2호선,신용카드
남성,60대 이상,회사원,75,8호선,신용카드
남성,30대,학생,56,5호선,현금
여성,20대,자영업,62,6호선,현금
남성,20대,기타,54,3호선,교통카드
남성,50대,무직,36,3호선,신용카드
남성,30대,학생,98,7호선,현금
여성,20대,기타,96,7호선,교통카드
남성,50대,무직,93,2호선,현금
남성,30대,학생,88,7호선,교통카드
남성,20대,회사원,41,8호선,현금
여성,30대,자영업,82,9호선,교통카드
남성,50대,기타,71,6호선,교통카드
여성,50대,회사원,88,5호선,교통카드
