gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,MonthlyCharges,Churn
Female,0,No,11,Yes,Yes,No,97.85,1
Male,0,Yes,10,Yes,No,No,49.55,0
Female,0,Yes,70,Yes,Yes,Yes,69.2,0
Female,0,Yes,17,Yes,No,No internet service,20.75,0
Female,0,No,63,Yes,Yes,Yes,79.85,0
Female,0,No,13,Yes,Yes,Yes,76.2,0
Female,0,No,49,Yes,Yes,No,84.5,0
Male,0,No,2,Yes,No,No,49.25,0
Female,0,No,2,Yes,No,No,80.65,1
Male,0,No,52,Yes,Yes,Yes,79.75,0
Female,0,Yes,69,Yes,Yes,Yes,64.15,0
Female,1,No,43,Yes,Yes,No,90.25,0
Female,0,No,15,Yes,No,Yes,99.1,1
Female,1,No,25,Yes,Yes,Yes,69.5,0
Female,1,No,8,Yes,Yes,No,80.65,1
Female,1,Yes,60,Yes,No,Yes,74.85,0
Male,1,No,18,Yes,Yes,No,95.45,1
Female,0,Yes,63,Yes,Yes,Yes,99.65,0
Male,1,Yes,66,Yes,Yes,No,108.45,0
Female,0,Yes,34,Yes,Yes,No internet service,24.95,0
Female,0,No,72,Yes,Yes,No,107.5,0
Female,0,No,47,Yes,Yes,No,100.5,0
Male,0,No,60,Yes,Yes,No,89.9,0
Male,0,No,72,No,No phone service,Yes,42.1,0
Female,0,Yes,18,Yes,No,No,54.4,0
Female,0,No,9,Yes,Yes,No,94.4,1
Female,0,No,3,Yes,No,No,75.3,0
Male,0,No,47,Yes,Yes,No,78.9,0
Female,0,No,31,Yes,No,No,79.2,0
Female,0,Yes,50,Yes,No,No internet service,20.15,0
Male,0,No,10,Yes,No,Yes,79.85,0
Male,0,No,1,Yes,No,No,49.05,0
Female,0,Yes,52,Yes,No,No internet service,20.4,0
Male,1,Yes,64,Yes,Yes,Yes,111.6,0
Male,0,Yes,62,Yes,Yes,No internet service,24.25,0
Female,0,Yes,3,Yes,No,Yes,64.5,0
Female,1,No,56,Yes,Yes,Yes,110.5,0
Female,0,No,46,Yes,No,No,55.65,0
Female,0,Yes,8,Yes,No,Yes,54.65,0
Male,1,No,30,Yes,No,Yes,74.75,0
Female,0,Yes,45,Yes,Yes,No internet service,25.9,0
Female,0,Yes,1,Yes,No,No,79.35,1
Female,0,Yes,11,No,No phone service,Yes,50.55,0
Female,0,No,7,Yes,No,No,75.15,1
Female,0,No,42,Yes,No,No,103.8,0
Female,0,No,49,Yes,No,No internet service,20.15,0
Male,0,No,9,Yes,Yes,No,99.3,0
Female,0,No,35,Yes,No,Yes,62.15,0
Female,0,Yes,48,Yes,No,No internet service,20.65,0
Female,0,Yes,46,Yes,No,No internet service,19.95,0
Male,0,No,29,No,No phone service,No,33.75,0
Male,0,Yes,30,Yes,No,No,82.05,0
Male,1,No,1,Yes,No,No,74.7,0
Male,0,Yes,66,Yes,Yes,Yes,84.0,0
Female,0,No,65,Yes,Yes,Yes,111.05,0
Male,0,No,72,Yes,Yes,No,100.9,0
Female,0,No,12,Yes,Yes,Yes,78.95,1
Male,0,Yes,71,Yes,Yes,Yes,66.85,0
Male,0,No,5,Yes,No,No internet service,21.05,1
Male,0,No,52,Yes,No,No internet service,21.0,0
Female,1,No,25,Yes,No,No,98.5,1
Male,0,No,1,Yes,No,No internet service,20.2,0
Female,0,Yes,1,Yes,No,No internet service,19.45,0
Male,0,No,38,Yes,Yes,No,95.0,0
Female,1,No,66,No,No phone service,No,45.55,0
Male,0,No,68,Yes,Yes,No,110.0,1
Male,0,No,5,No,No phone service,No,24.3,0
Female,0,Yes,72,Yes,Yes,Yes,104.15,0
Female,0,No,32,No,No phone service,Yes,30.15,0
Male,0,No,43,Yes,Yes,No,94.35,0
Male,0,Yes,72,Yes,No,No internet service,19.4,0
Male,0,No,55,Yes,Yes,Yes,96.75,1
Female,0,No,52,Yes,No,Yes,57.95,0
Female,0,No,43,Yes,No,No,91.65,0
Female,1,No,37,Yes,Yes,No,76.5,1
Female,0,Yes,64,No,No phone service,No,54.6,0
Male,0,Yes,3,Yes,No,Yes,89.85,0
Female,0,No,36,No,No phone service,Yes,31.05,0
Female,0,Yes,10,Yes,Yes,Yes,100.25,1
Female,0,No,41,Yes,No,No internet service,20.65,0
Male,0,Yes,27,Yes,Yes,No,85.2,0
Female,0,Yes,56,Yes,Yes,No,99.8,0
Female,0,No,6,Yes,No,No internet service,20.7,0
Male,0,No,3,Yes,Yes,No,74.4,1
Female,0,Yes,7,Yes,No,Yes,50.7,0
Female,0,Yes,4,Yes,No,No internet service,20.85,0
Male,0,No,33,Yes,No,Yes,88.95,0
Female,1,No,27,Yes,Yes,No,78.05,1
Male,0,No,72,Yes,Yes,No internet service,23.55,0
Male,0,No,1,Yes,No,No internet service,19.75,0
Male,1,No,71,No,No phone service,Yes,56.45,0
Female,0,No,13,Yes,Yes,No,85.95,0
Female,0,Yes,25,No,No phone service,Yes,58.6,1
Male,0,No,67,Yes,No,No,50.55,0
Male,0,No,1,No,No phone service,No,35.45,1
Male,0,No,2,Yes,No,No,44.35,1
Female,0,No,43,Yes,Yes,No internet service,25.7,0
Female,0,No,23,Yes,No,Yes,75.0,0
Female,0,Yes,64,Yes,No,No internet service,20.2,0
Male,0,Yes,57,Yes,No,No internet service,19.6,0
Female,1,No,1,Yes,No,No,70.45,1
Female,1,Yes,72,Yes,Yes,Yes,88.05,0
Female,0,No,8,Yes,Yes,Yes,71.15,1
Female,0,No,61,Yes,Yes,No,101.05,0
Male,0,No,64,Yes,Yes,Yes,84.3,0
Male,1,No,71,Yes,Yes,No internet service,23.95,0
Female,0,Yes,65,Yes,Yes,Yes,99.05,0
Male,0,No,3,Yes,No,No internet service,19.6,0
Male,0,No,1,Yes,No,No,45.65,1
Male,0,Yes,30,Yes,No,No,64.5,0
Male,0,Yes,15,Yes,No,No,69.5,0
Female,0,Yes,8,Yes,No,No,68.55,0
Male,0,No,7,Yes,Yes,No,95.0,1
Female,0,Yes,70,Yes,Yes,Yes,108.15,0
Male,0,Yes,62,Yes,No,Yes,86.1,0
Female,0,Yes,6,Yes,No,No internet service,19.7,0
Female,0,Yes,14,Yes,No,No,80.9,0
Female,0,No,22,Yes,Yes,No,84.15,0
Male,0,Yes,22,Yes,No,No internet service,20.15,0
Male,0,Yes,16,Yes,No,Yes,64.25,0
Male,0,No,10,Yes,Yes,No internet service,25.7,0
Female,0,Yes,13,Yes,No,Yes,56.0,0
Female,0,No,20,Yes,Yes,Yes,82.4,1
Female,0,No,2,Yes,No,No,69.7,0
Male,0,No,53,Yes,Yes,No,73.9,0
Female,0,Yes,11,Yes,No,No internet service,20.6,0
Male,0,No,69,Yes,No,No internet service,19.9,0
Female,0,No,4,Yes,No,No,70.9,1
Male,0,No,72,Yes,Yes,Yes,89.05,0
Male,1,No,58,No,No phone service,No,45.3,1
Female,0,Yes,16,Yes,No,No internet service,20.4,0
Male,0,No,43,Yes,No,Yes,84.25,0
Female,0,No,2,Yes,Yes,No,104.4,1
Male,0,No,14,Yes,No,No,81.95,0
Female,0,No,53,Yes,No,No,94.85,1
Female,0,No,32,Yes,No,No internet service,20.55,0
Female,0,No,34,Yes,Yes,No internet service,24.7,0
Female,1,No,15,Yes,Yes,No,74.45,1
Female,1,No,7,Yes,No,Yes,76.45,1
Female,0,Yes,15,Yes,Yes,No,105.35,0
Male,0,No,61,Yes,No,No internet service,20.55,0
Female,0,No,1,No,No phone service,No,29.95,1
Female,0,No,1,Yes,No,No,45.3,0
Male,0,No,8,Yes,Yes,No,84.5,1
Male,0,Yes,33,Yes,No,Yes,74.75,0
Female,0,No,13,Yes,No,No,79.25,1
Female,0,No,1,No,No phone service,No,24.8,1
Male,0,No,20,Yes,No,No,51.8,0
Male,0,No,3,No,No phone service,No,30.4,0
Female,0,No,13,Yes,No,No internet service,19.65,0
Female,0,No,40,Yes,Yes,No,56.6,0
Male,0,Yes,43,Yes,Yes,Yes,71.9,0
Male,0,No,6,Yes,No,No,91.0,1
Female,0,Yes,69,Yes,No,No internet service,19.75,0
Female,0,Yes,72,Yes,Yes,Yes,109.7,0
Male,0,Yes,59,Yes,No,No internet service,19.3,0
Female,0,No,20,Yes,No,Yes,96.55,0
Male,0,Yes,24,Yes,Yes,No internet service,24.1,0
Male,0,No,59,Yes,Yes,No,111.35,0
Male,0,Yes,72,Yes,Yes,No,112.25,0
Male,0,Yes,1,Yes,No,No internet service,20.75,0
Female,0,No,27,Yes,No,Yes,101.9,0
Female,0,No,14,Yes,No,No,80.05,0
Male,0,Yes,71,Yes,Yes,Yes,105.55,0
Male,0,Yes,13,Yes,No,No,78.3,0
Male,0,No,44,Yes,No,No,68.85,0
Female,0,No,33,Yes,No,No,79.95,0
Male,0,Yes,72,No,No phone service,Yes,55.45,0
Male,0,No,1,Yes,No,No,79.9,1
Female,0,No,19,Yes,No,Yes,106.6,1
Male,0,No,64,Yes,No,No,102.45,0
Male,0,No,2,Yes,No,No,46.0,1
Female,0,No,1,No,No phone service,No,25.25,0
Male,0,Yes,61,Yes,No,No internet service,19.75,0
Female,0,Yes,29,Yes,No,No internet service,20.0,0
Male,1,No,23,Yes,Yes,No,86.8,0
Female,0,No,57,No,No phone service,Yes,58.75,0
Male,0,Yes,72,No,No phone service,Yes,45.25,0
Male,0,No,66,No,No phone service,Yes,56.6,0
Male,0,Yes,65,Yes,Yes,No,84.2,0
Female,0,No,8,Yes,No,No,80.0,0
Female,0,No,4,Yes,No,No,70.15,1
Female,0,No,71,Yes,Yes,No internet service,24.75,0
Male,0,Yes,1,Yes,No,No internet service,20.2,0
Male,0,No,4,Yes,No,No,50.05,1
Female,0,No,12,Yes,No,No internet service,19.35,0
Male,0,No,24,No,No phone service,Yes,50.6,0
Female,0,Yes,31,Yes,No,Yes,81.15,0
Female,0,No,1,Yes,No,No,55.2,1
Male,0,No,30,Yes,Yes,No,89.9,0
Female,0,Yes,47,Yes,Yes,Yes,85.3,0
Male,0,No,54,Yes,Yes,Yes,108.0,0
Male,0,No,50,Yes,No,Yes,93.5,0
Male,0,No,1,Yes,No,Yes,84.6,1
Female,0,No,72,Yes,No,No internet service,20.25,0
Female,0,No,29,Yes,Yes,No internet service,25.15,0
Male,0,No,2,Yes,Yes,No,54.4,1
Female,0,No,10,No,No phone service,No,29.6,0
Male,0,No,18,Yes,Yes,No,73.15,0
Female,1,No,11,Yes,No,No,95.0,1
Male,0,No,16,Yes,No,No internet service,19.75,0
Female,0,No,72,Yes,Yes,No,86.6,0
Male,0,No,72,Yes,Yes,No,109.2,0
Female,0,Yes,41,Yes,No,Yes,74.7,0
Female,1,No,65,Yes,No,Yes,94.4,0
Female,1,No,13,Yes,No,No,54.8,0
Male,1,No,4,Yes,No,Yes,75.35,0
Male,0,No,41,Yes,Yes,No,65.0,0
Male,1,No,15,Yes,No,No,74.4,1
Male,0,No,1,Yes,No,Yes,48.55,1
Male,0,No,42,Yes,Yes,Yes,99.0,0
Female,0,No,51,Yes,No,Yes,93.5,0
Female,0,Yes,2,Yes,No,No,70.4,1
Male,1,No,1,No,No phone service,No,40.2,1
Male,0,Yes,32,Yes,Yes,No,83.7,0
Male,0,No,10,Yes,No,No internet service,19.85,0
Female,0,Yes,67,No,No phone service,No,59.55,0
Female,0,Yes,61,Yes,Yes,Yes,115.1,0
Male,0,No,50,Yes,Yes,Yes,114.35,0
Female,0,No,2,Yes,No,No,44.6,1
Female,1,No,29,No,No phone service,Yes,45.0,0
Male,1,No,3,No,No phone service,No,41.15,1
Male,1,No,13,Yes,Yes,No,106.9,1
Male,1,No,57,Yes,Yes,No,89.85,0
Female,0,No,31,No,No phone service,Yes,49.85,0
Female,0,No,45,Yes,Yes,Yes,113.3,0
Female,0,Yes,61,Yes,Yes,Yes,88.1,0
Male,0,No,50,Yes,Yes,No internet service,24.9,0
Female,1,No,19,Yes,No,Yes,105.0,0
Male,0,No,59,Yes,No,No internet service,19.35,1
Female,0,No,71,Yes,Yes,No internet service,24.25,0
Female,1,No,16,Yes,No,No,94.45,1
Male,0,No,57,Yes,No,Yes,59.75,0
Male,0,No,1,No,No phone service,No,24.8,1
Male,1,No,20,Yes,Yes,No,107.05,0
Male,0,No,1,Yes,No,No,70.6,1
Male,0,No,5,Yes,Yes,No,85.4,1
Female,0,No,52,Yes,Yes,No,105.05,1
Male,1,No,21,Yes,No,Yes,64.95,0
Male,0,No,14,No,No phone service,No,55.0,0
Female,0,No,5,Yes,No,No,50.55,0
Female,0,No,6,Yes,No,Yes,55.15,0
Female,0,No,10,Yes,No,No,51.2,0
Female,0,Yes,1,Yes,Yes,No internet service,25.4,0
Female,0,No,68,Yes,Yes,Yes,54.45,0
Male,0,Yes,18,Yes,No,No,95.15,1
Female,0,No,22,Yes,Yes,No,76.0,0
Female,0,No,20,Yes,No,No,44.35,0
Male,0,No,1,Yes,No,No,70.0,1
Male,1,No,8,Yes,No,No,74.5,1
Male,0,No,10,Yes,No,No,44.85,1
Male,1,No,24,Yes,Yes,No,76.1,1
Male,0,No,35,Yes,No,Yes,61.2,0
Male,0,Yes,23,Yes,No,No,86.8,0
Female,1,No,6,Yes,No,No,89.35,0
Female,0,No,12,Yes,No,No internet service,19.7,0
Male,0,No,1,Yes,No,No internet service,20.25,0
Female,0,Yes,71,Yes,No,No,76.05,0
Male,1,No,35,Yes,Yes,No,100.8,0
Male,0,Yes,40,Yes,Yes,No,74.55,0
Female,0,Yes,1,Yes,No,Yes,73.6,1
Male,0,No,23,Yes,No,No,64.9,0
Female,1,No,4,Yes,Yes,No,95.45,1
Male,0,No,4,Yes,No,No,90.4,0
Female,0,Yes,68,No,No phone service,No,60.3,0
Male,0,Yes,38,Yes,Yes,No,81.85,0
Male,0,Yes,52,Yes,Yes,No internet service,24.8,0
Male,1,No,32,Yes,Yes,No,74.9,1
Male,0,Yes,29,Yes,No,No,75.55,0
Male,1,Yes,38,Yes,Yes,No,101.15,0
Male,0,Yes,48,Yes,Yes,Yes,78.75,0
Female,0,No,1,Yes,No,No internet service,19.25,0
Female,0,No,22,Yes,No,Yes,89.05,0
Female,0,No,43,Yes,Yes,Yes,115.05,0
Female,1,No,5,Yes,No,No,69.35,0
Male,0,No,5,Yes,No,No,80.6,1
Male,0,Yes,51,Yes,Yes,Yes,110.05,0
Male,0,No,71,Yes,No,No internet service,19.9,0
Female,0,Yes,38,Yes,No,Yes,80.3,1
Male,1,No,24,Yes,No,No,93.15,1
Male,0,No,35,Yes,Yes,No,91.5,0
Female,1,No,54,Yes,Yes,Yes,82.45,1
Female,0,Yes,72,No,No phone service,No,60.0,0
Male,0,No,1,Yes,No,No,44.8,0
Female,0,Yes,9,Yes,No,Yes,48.6,0
Male,0,No,69,No,No phone service,Yes,60.05,0
Female,0,No,52,Yes,Yes,No,102.7,0
Female,1,No,11,Yes,No,No,82.9,0
Female,1,No,2,Yes,No,No,70.35,1
Female,1,Yes,28,No,No phone service,No,35.9,0
Female,1,No,17,Yes,Yes,No,82.65,0
Female,0,Yes,35,Yes,No,No internet service,19.85,0
Female,0,No,8,Yes,No,No internet service,19.2,0
Male,0,No,46,Yes,Yes,No,94.9,0
Female,0,No,7,Yes,Yes,No,73.85,1
Female,0,No,2,Yes,Yes,No,80.6,1
Male,0,Yes,68,Yes,Yes,No,75.8,1
Female,0,No,43,Yes,Yes,No,104.6,1
Female,0,No,68,Yes,Yes,Yes,88.15,0
Female,0,No,36,Yes,No,No,94.8,0
Male,0,No,63,Yes,Yes,No,103.4,1
Female,1,No,32,Yes,No,No,54.65,0
Female,0,No,71,Yes,Yes,Yes,85.75,0
Female,0,Yes,66,Yes,Yes,Yes,67.45,0
Male,0,No,63,Yes,No,No internet service,20.5,0
Female,0,Yes,41,Yes,No,No internet service,20.25,0
Female,1,No,1,Yes,Yes,No,72.1,0
Female,0,No,2,Yes,No,No,90.4,1
Female,0,No,70,Yes,No,No internet service,19.45,0
Female,0,No,23,No,No phone service,No,44.95,0
Female,1,No,64,Yes,No,Yes,97.0,0
Male,0,Yes,37,Yes,Yes,Yes,62.8,0
Male,0,Yes,17,Yes,No,No,44.6,0
Female,1,No,7,Yes,No,No,89.15,0
Male,0,Yes,4,Yes,Yes,No,84.8,1
Female,1,No,21,No,No phone service,Yes,41.9,1
Female,0,No,10,Yes,No,No,80.25,1
Female,1,No,16,Yes,Yes,Yes,54.1,0
Male,0,No,64,Yes,Yes,No,105.25,0
Male,1,No,27,No,No phone service,Yes,30.75,1
Male,0,Yes,42,Yes,Yes,Yes,97.1,0
Male,0,Yes,5,Yes,No,No internet service,20.2,0
Female,0,No,41,Yes,No,No,98.8,0
Male,0,No,58,Yes,No,No,50.3,0
Female,0,No,47,Yes,No,No internet service,20.55,0
Male,0,No,18,Yes,No,No,75.9,0
Male,0,No,5,Yes,No,No,96.5,1
Male,0,No,23,Yes,No,Yes,59.95,0
Female,0,No,1,Yes,No,No internet service,19.15,0
Male,0,No,71,Yes,Yes,No,98.65,0
Male,0,Yes,72,Yes,Yes,Yes,112.6,0
Male,0,Yes,33,Yes,No,No internet service,20.6,0
Male,0,No,2,Yes,Yes,No,85.65,1
Male,0,Yes,24,No,No phone service,Yes,35.75,0
Female,0,Yes,56,Yes,Yes,No,99.75,0
Male,0,No,37,Yes,No,No,96.1,0
Female,0,No,43,Yes,Yes,No,85.1,0
Male,0,No,1,No,No phone service,No,25.35,0
Female,0,No,25,Yes,Yes,No,104.95,1
Female,0,No,61,Yes,Yes,Yes,89.65,0
Male,0,No,17,Yes,Yes,No,86.75,0
Female,0,No,41,Yes,No,No,86.2,0
Male,0,No,1,Yes,No,No,50.65,1
Male,1,Yes,72,No,No phone service,Yes,64.8,0
Male,0,No,1,Yes,Yes,No,90.85,1
Male,0,No,48,Yes,Yes,No,108.1,0
Male,1,No,11,Yes,No,No internet service,19.95,1
Female,1,No,55,Yes,Yes,No,85.45,1
Female,0,No,42,No,No phone service,Yes,54.75,0
Male,0,No,44,Yes,Yes,No,90.4,0
Male,0,Yes,1,Yes,No,No,44.0,0
Female,0,No,27,Yes,Yes,No,95.6,0
Male,1,No,27,Yes,Yes,No,84.8,0
Female,1,No,2,Yes,No,No,44.3,0
Female,0,No,19,Yes,No,No internet service,19.9,0
Female,1,No,42,Yes,Yes,No,95.05,0
Female,0,No,66,Yes,Yes,Yes,90.05,0
Male,1,No,33,Yes,Yes,Yes,109.9,0
Female,0,No,34,Yes,No,No,73.95,1
Male,1,No,33,No,No phone service,No,54.6,0
Female,0,Yes,23,Yes,No,No internet service,20.05,0
Female,0,No,32,Yes,No,No internet service,19.75,0
Female,0,No,11,Yes,No,No internet service,20.05,0
Male,0,Yes,69,Yes,Yes,No,99.45,1
Female,0,No,68,Yes,No,Yes,55.9,0
Male,0,No,20,Yes,No,No internet service,19.7,0
Male,0,No,72,Yes,No,No internet service,19.8,0
Male,0,Yes,60,Yes,Yes,Yes,95.4,0
Male,1,Yes,32,Yes,No,No,93.95,0
Female,0,No,1,Yes,No,No internet service,19.9,1
Male,0,No,1,Yes,No,No internet service,19.6,1
Male,1,No,3,Yes,Yes,No,81.35,1
Female,0,No,46,Yes,Yes,No internet service,24.45,0
Female,0,No,29,Yes,Yes,No,74.95,0
Male,0,No,51,Yes,Yes,No,87.35,0
Female,1,No,48,Yes,No,No,70.65,0
Female,0,Yes,16,Yes,No,No,73.25,0
Male,0,No,70,Yes,Yes,No,98.7,0
Female,0,Yes,40,Yes,Yes,No internet service,24.8,0
Female,0,Yes,22,Yes,No,No,83.3,1
Female,1,No,1,Yes,No,No,75.3,1
Female,0,Yes,5,Yes,Yes,No internet service,24.3,0
Female,0,No,7,Yes,No,No,69.85,0
Male,0,Yes,29,Yes,Yes,No,100.55,0
Male,0,Yes,44,Yes,Yes,No internet service,25.7,0
Female,0,No,10,No,No phone service,Yes,40.7,0
Female,1,No,55,Yes,Yes,No,51.65,0
Male,1,No,52,Yes,Yes,No,105.1,0
Female,0,Yes,10,Yes,Yes,No,85.95,0
Male,0,No,18,Yes,Yes,No,75.6,0
Female,0,No,68,Yes,Yes,Yes,58.25,0
Female,0,Yes,61,Yes,No,No internet service,19.4,1
Female,0,Yes,72,No,No phone service,Yes,65.2,0
Male,0,No,2,Yes,No,Yes,53.45,0
Male,0,No,12,Yes,No,No,45.4,1
Male,0,No,41,Yes,No,No internet service,19.75,0
Female,0,No,26,No,No phone service,No,44.45,0
Male,0,No,36,Yes,No,No internet service,20.85,0
Male,0,Yes,72,Yes,Yes,Yes,114.05,0
Male,0,No,35,Yes,Yes,No,89.85,0
Male,0,No,1,Yes,No,No,55.05,0
Female,0,Yes,16,Yes,Yes,Yes,112.95,0
Female,1,No,49,Yes,Yes,Yes,101.55,0
Female,0,No,54,Yes,Yes,Yes,114.65,0
Female,0,Yes,18,Yes,Yes,Yes,64.8,0
Female,0,No,36,Yes,No,No,80.4,0
Female,0,No,60,Yes,Yes,No,105.9,1
Female,0,No,1,Yes,No,No,69.55,1
Female,0,Yes,52,Yes,Yes,No internet service,25.05,0
Male,0,Yes,8,Yes,No,No,94.75,0
Male,0,Yes,72,Yes,No,Yes,105.5,0
Female,0,No,64,Yes,Yes,No internet service,24.7,0
Female,1,No,22,Yes,No,Yes,69.75,0
Male,0,No,60,No,No phone service,No,60.2,0
Female,0,Yes,28,Yes,No,No,81.05,1
Female,0,No,61,Yes,Yes,No internet service,24.4,0
Female,0,No,24,Yes,Yes,No,104.15,0
Male,0,Yes,28,Yes,No,No,92.9,0
Female,0,Yes,30,Yes,No,No,80.8,0
Male,0,No,2,Yes,No,No internet service,20.0,0
Male,0,No,1,Yes,Yes,No,75.1,0
Male,0,Yes,6,Yes,No,No internet service,19.65,0
Female,0,No,24,Yes,No,No,69.45,0
Male,0,Yes,4,Yes,Yes,No,101.15,1
Male,0,No,7,Yes,Yes,No,99.8,1
Male,1,No,72,Yes,Yes,Yes,116.05,0
Male,0,No,70,No,No phone service,No,40.05,0
Male,1,No,64,Yes,Yes,No,102.1,0
Male,0,Yes,72,Yes,Yes,No,89.7,0
Female,0,Yes,44,Yes,No,No internet service,19.9,0
Female,0,Yes,13,Yes,No,No,55.95,1
Female,1,No,17,Yes,No,No internet service,20.65,0
Male,0,No,1,Yes,No,No,55.0,1
Male,0,No,9,Yes,No,No,70.05,0
Male,0,No,24,Yes,No,Yes,53.6,0
Female,0,Yes,1,Yes,No,No,74.7,1
Male,0,No,24,Yes,Yes,No,80.25,1
Male,1,Yes,35,Yes,No,No,76.05,0
Female,0,Yes,7,Yes,No,Yes,75.7,0
Male,0,No,5,Yes,No,No,96.1,1
Female,0,Yes,15,Yes,No,No,69.0,1
Male,0,Yes,11,Yes,No,No internet service,19.65,0
Female,0,No,48,No,No phone service,Yes,45.3,1
Female,1,No,20,Yes,No,No,81.45,0
Female,0,No,72,Yes,Yes,No,108.5,0
Female,0,Yes,8,Yes,No,No,83.55,1
Male,0,Yes,72,Yes,Yes,No,84.5,0
Female,0,No,15,Yes,Yes,No,100.15,0
Male,0,No,72,Yes,Yes,No,88.6,0
Female,0,Yes,0,No,No phone service,Yes,52.55,0
Male,0,Yes,1,Yes,Yes,No,74.35,1
Male,0,Yes,63,Yes,Yes,No,104.8,0
Female,0,No,2,Yes,No,No,59.0,0
Female,0,No,2,Yes,No,Yes,74.4,1
Male,1,No,61,Yes,Yes,No,64.05,0
Male,0,No,1,Yes,No,No internet service,20.4,0
Male,0,No,22,No,No phone service,No,43.75,1
Male,0,No,28,Yes,No,Yes,60.9,0
Female,0,No,70,Yes,No,No internet service,19.8,0
Female,1,No,5,No,No phone service,No,28.45,1
Female,0,No,12,Yes,Yes,Yes,99.7,1
Male,0,No,34,Yes,Yes,Yes,116.25,0
Female,1,No,71,Yes,Yes,Yes,80.7,0
Female,0,Yes,70,Yes,Yes,Yes,65.2,0
Female,0,Yes,52,Yes,No,Yes,84.05,0
Male,0,Yes,69,Yes,Yes,Yes,79.45,0
Female,1,No,20,Yes,Yes,No,94.1,1
Male,0,Yes,11,Yes,Yes,No,78.0,0
Male,0,No,2,Yes,No,No,94.2,1
Female,0,Yes,6,Yes,Yes,No,80.5,1
Female,0,No,1,Yes,No,No internet service,19.85,0
Male,1,Yes,20,Yes,No,Yes,94.3,0
Male,0,No,61,Yes,Yes,Yes,106.45,0
Female,1,No,5,Yes,Yes,No,74.35,1
Female,0,No,56,Yes,Yes,No,105.45,0
Male,0,No,30,Yes,Yes,Yes,95.0,0
Male,0,No,40,Yes,Yes,No,104.8,1
Female,0,No,28,Yes,No,Yes,54.3,0
Female,1,No,5,Yes,No,No,70.05,0
Female,1,No,27,Yes,No,Yes,75.2,1
Male,0,No,12,Yes,No,No internet service,20.05,0
Male,0,Yes,67,Yes,Yes,No,105.4,0
Male,1,No,29,Yes,Yes,No,51.6,0
Male,0,Yes,55,Yes,Yes,No,85.5,0
Female,0,No,23,Yes,Yes,No,75.6,1
Male,0,No,34,Yes,Yes,No,100.05,1
Male,0,No,52,Yes,No,Yes,91.25,0
Male,1,Yes,72,Yes,Yes,Yes,115.75,0
Male,0,Yes,58,Yes,Yes,No,94.7,0
Male,0,Yes,35,Yes,No,No internet service,19.6,0
Female,1,No,56,Yes,Yes,No,99.9,0
Female,0,Yes,24,Yes,No,No internet service,21.1,0
Male,0,Yes,70,Yes,No,No internet service,20.05,0
Male,0,No,2,Yes,No,No,79.95,0
Male,1,Yes,68,Yes,Yes,No,107.15,0
Female,0,No,1,Yes,Yes,No,85.0,1
Male,0,No,12,Yes,Yes,No,89.55,0
Female,0,No,63,Yes,Yes,No,81.55,0
Female,0,Yes,33,Yes,No,Yes,58.45,0
Female,0,No,69,Yes,No,No,95.65,0
Female,0,Yes,60,Yes,No,No,80.6,0
