직원ID,부서명,연봉,고객만족점수,근속년수,근무평가등급,교육참가시간수
EMP0060,마케팅,91510,4,8,A,77
EMP0061,영업,42269,3,21,B,34
EMP0062,IT,100221,5,29,A,38
EMP0063,영업,107603,2,27,C,99
EMP0064,인사,66443,7,12,B,18
EMP0065,고객지원,43311,3,10,B,75
EMP0066,인사,97218,6,23,D,63
EMP0067,영업,95477,5,13,B,45
EMP0068,고객지원,141928,2,12,D,18
EMP0069,IT,40982,8,23,D,44
EMP0070,고객지원,113791,8,4,A,48
EMP0071,고객지원,62599,8,21,C,46
EMP0072,고객지원,57105,1,8,A,14
EMP0073,재무,109514,9,15,C,53
EMP0074,마케팅,144027,9,10,D,34
EMP0075,인사,31287,3,5,A,83
EMP0076,고객지원,73002,1,4,C,95
EMP0077,IT,94813,1,14,C,98
EMP0078,마케팅,87729,5,28,B,61
EMP0079,마케팅,41653,9,9,B,24
EMP0080,인사,57800,10,18,D,79
EMP0081,재무,76750,5,9,C,65
EMP0082,재무,124092,6,23,D,12
EMP0083,마케팅,30975,7,21,D,58
EMP0084,영업,72598,9,14,D,78
EMP0085,IT,51935,5,6,B,48
EMP0086,마케팅,67552,9,18,C,24
EMP0087,마케팅,148257,2,27,B,39
EMP0088,고객지원,91147,3,26,A,56
EMP0089,마케팅,93481,9,6,B,30
EMP0090,고객지원,144027,4,7,A,26
EMP0091,고객지원,77081,6,7,A,10
EMP0092,마케팅,42198,10,3,C,27
EMP0093,영업,130724,10,5,B,68
EMP0094,영업,87193,7,27,C,85
EMP0095,인사,69879,3,26,C,21
EMP0096,인사,93283,2,23,A,95
EMP0097,마케팅,36444,4,6,B,89
EMP0098,영업,124467,8,24,B,41
EMP0099,고객지원,82497,8,3,B,22
EMP0100,고객지원,139817,4,19,B,94
EMP0101,고객지원,36743,6,23,B,80
EMP0102,마케팅,92998,9,11,C,49
EMP0103,재무,58905,2,19,A,74
EMP0104,마케팅,37149,7,3,C,40
EMP0105,인사,140750,2,30,D,84
EMP0106,재무,129861,3,2,D,43
EMP0107,IT,36571,4,4,A,16
EMP0108,영업,83178,2,28,D,40
EMP0109,고객지원,93481,2,16,B,44
EMP0110,IT,76815,3,17,D,17
EMP0111,인사,104444,10,6,A,86
EMP0112,인사,,3,2,C,10
EMP0113,IT,60536,2,28,B,80
EMP0114,마케팅,114379,6,18,A,78
EMP0115,인사,44736,5,18,A,66
EMP0116,마케팅,89922,3,10,D,50
EMP0117,영업,136637,2,14,A,90
EMP0118,IT,144810,10,17,A,75
EMP0119,마케팅,111738,9,10,D,27
EMP0120,인사,130149,7,11,B,25
EMP0121,인사,140075,9,6,D,47
EMP0122,마케팅,118216,7,8,B,42
EMP0123,재무,135202,6,26,D,57
EMP0124,재무,138648,3,23,B,81
EMP0125,인사,91510,6,11,A,82
EMP0126,고객지원,100108,1,13,C,70
EMP0127,영업,31388,3,16,D,16
EMP0128,고객지원,114379,4,14,A,31
EMP0129,영업,87316,6,2,C,28
EMP0130,재무,138815,4,13,C,22
EMP0131,고객지원,100216,5,23,B,59
EMP0132,고객지원,135265,2,13,C,68
EMP0133,마케팅,99749,9,18,A,17
EMP0134,IT,144810,10,28,C,13
EMP0135,재무,84069,10,13,A,65
EMP0136,영업,144217,1,4,B,48
EMP0137,마케팅,34176,7,11,C,24
EMP0138,IT,60700,10,2,A,50
EMP0139,마케팅,126320,1,23,B,91
EMP0140,영업,49067,2,11,C,47
EMP0141,영업,123784,8,1,B,23
EMP0142,마케팅,136839,10,2,C,26
EMP0143,IT,111109,3,5,D,100
EMP0144,영업,121198,9,14,B,27
EMP0145,영업,94556,2,14,B,98
EMP0146,재무,120831,5,29,D,10
EMP0147,마케팅,116874,7,9,C,99
EMP0148,IT,56924,6,3,C,18
EMP0149,영업,126320,3,23,B,92
EMP0150,고객지원,67312,5,21,A,93
EMP0151,마케팅,38909,7,29,C,88
EMP0152,IT,87243,8,1,B,22
EMP0153,영업,51250,9,27,C,46
EMP0154,마케팅,97274,7,17,C,97
EMP0155,인사,74359,2,11,B,14
EMP0156,인사,136637,8,3,D,14
EMP0157,재무,126502,1,2,C,12
EMP0158,마케팅,34440,10,9,C,58
EMP0159,영업,30489,2,20,D,88
EMP0160,재무,120440,1,6,A,36
EMP0161,재무,130149,9,3,D,88
EMP0162,재무,138647,6,23,D,37
EMP0163,마케팅,33755,3,22,B,18
EMP0164,고객지원,42198,6,6,A,47
EMP0165,마케팅,102696,7,30,D,62
EMP0166,인사,89370,4,21,B,56
EMP0167,재무,65555,2,5,A,49
EMP0168,영업,121198,5,24,B,43
EMP0169,재무,102696,10,20,C,40
EMP0170,재무,145372,7,24,A,94
EMP0171,인사,44206,8,13,A,43
EMP0172,영업,139969,10,30,C,45
EMP0173,마케팅,87649,2,14,D,45
EMP0174,마케팅,71937,9,14,B,34
EMP0175,재무,149499,5,16,D,91
EMP0176,마케팅,124092,4,6,D,48
EMP0177,영업,,9,21,B,55
EMP0178,마케팅,144027,3,8,A,100
EMP0179,마케팅,44820,8,2,B,98
EMP0180,영업,78936,2,9,B,21
EMP0181,고객지원,101698,1,12,C,27
EMP0182,마케팅,40982,1,7,A,73
EMP0183,IT,124092,9,22,D,81
EMP0184,재무,36007,5,17,C,43
EMP0185,재무,127988,5,19,A,74
EMP0186,인사,97473,2,6,C,43
EMP0187,영업,147508,10,17,C,82
EMP0188,마케팅,100108,3,29,D,33
EMP0189,인사,133095,5,14,C,81
EMP0190,IT,44736,6,19,D,43
EMP0191,고객지원,138766,4,22,A,75
EMP0192,IT,55704,8,19,C,93
EMP0193,고객지원,127806,6,,D,20
EMP0194,재무,108244,10,29,D,38
EMP0195,IT,98511,4,23,A,11
EMP0196,영업,104108,5,18,B,18
EMP0197,마케팅,140019,8,3,C,55
EMP0198,인사,97473,8,23,D,13
EMP0199,재무,112999,2,28,C,50
EMP0200,고객지원,52983,6,17,B,50
EMP0201,IT,100108,6,23,C,81
EMP0202,인사,101576,6,26,B,53
EMP0203,고객지원,138647,1,29,B,85
EMP0204,재무,105861,6,1,B,61
EMP0205,IT,147508,10,9,C,21
EMP0206,고객지원,30454,2,14,D,38
EMP0207,마케팅,101744,2,28,D,34
EMP0208,IT,43832,6,9,D,80
EMP0209,고객지원,33755,9,26,D,77
EMP0210,인사,94813,5,21,D,98
EMP0211,마케팅,138457,10,3,B,18
EMP0212,마케팅,69879,2,22,D,64
EMP0213,IT,95477,10,5,C,19
EMP0214,인사,102560,6,21,A,50
EMP0215,고객지원,131953,6,10,A,36
EMP0216,재무,69502,2,6,D,97
EMP0217,재무,38909,1,2,D,32
EMP0218,IT,129545,10,2,A,88
EMP0219,마케팅,114379,3,19,D,61
EMP0220,고객지원,55704,4,27,A,14
EMP0221,인사,30454,6,30,D,35
EMP0222,영업,130149,3,4,A,41
EMP0223,IT,139969,8,18,C,26
EMP0224,영업,138648,6,26,B,80
EMP0225,인사,123590,2,8,C,18
EMP0226,재무,46007,9,17,A,39
EMP0227,영업,149819,3,,A,90
EMP0228,IT,129861,8,23,D,86
EMP0229,재무,92998,7,26,D,13
EMP0230,고객지원,80414,8,18,D,87
EMP0231,인사,144810,9,24,A,33
EMP0232,인사,143506,2,11,C,77
EMP0233,인사,148319,4,29,B,62
EMP0234,고객지원,100221,9,21,D,48
EMP0235,IT,103324,7,27,D,24
EMP0236,인사,146653,7,17,C,78
EMP0237,영업,69879,9,30,C,23
EMP0238,IT,37128,5,13,D,81
EMP0239,IT,77985,4,10,D,48
EMP0240,고객지원,88937,9,5,D,43
EMP0241,인사,134954,3,16,A,44
EMP0242,고객지원,115417,5,1,C,44
EMP0243,영업,143661,5,4,C,77
EMP0244,인사,41259,8,25,B,33
EMP0245,재무,60536,7,7,B,16
EMP0246,IT,77081,7,8,C,25
EMP0247,고객지원,58905,5,23,C,80
EMP0248,재무,69454,5,3,B,68
EMP0249,재무,55704,4,8,C,20
EMP0250,인사,129018,5,11,A,100
EMP0251,영업,40090,3,20,C,11
EMP0252,영업,70636,10,22,D,51
EMP0253,인사,55704,2,21,D,28
EMP0254,인사,61820,9,12,A,21
EMP0255,영업,135202,1,23,B,10
EMP0256,재무,144953,10,17,D,15
EMP0257,IT,40225,1,3,C,59
EMP0258,IT,102491,9,13,C,58
EMP0259,재무,143058,9,4,A,24
EMP0260,영업,148319,2,13,D,40
EMP0261,마케팅,37128,10,28,D,43
EMP0262,마케팅,98505,5,23,B,10
EMP0263,IT,34176,1,22,D,71
EMP0264,마케팅,107929,5,29,B,70
EMP0265,마케팅,73002,6,23,B,68
EMP0266,마케팅,41259,7,14,C,47
EMP0267,영업,121612,4,20,A,69
EMP0268,고객지원,55704,5,13,B,78
EMP0269,IT,43311,9,6,C,15
EMP0270,IT,102696,7,23,C,52
EMP0271,인사,131551,10,7,D,99
EMP0272,영업,68214,1,26,D,64
EMP0273,IT,149499,5,12,A,15
EMP0274,고객지원,128665,3,23,B,84
EMP0275,인사,134954,10,3,D,52
EMP0276,영업,67232,9,16,B,35
EMP0277,고객지원,107406,1,23,D,94
EMP0278,인사,87193,4,21,A,15
EMP0279,IT,36571,7,21,C,31
EMP0280,영업,121479,1,8,B,67
EMP0281,IT,138732,4,17,B,36
EMP0282,영업,128851,9,4,D,76
EMP0283,인사,139426,7,13,D,47
EMP0284,재무,34665,3,30,B,88
EMP0285,인사,63052,3,19,A,89
EMP0286,마케팅,42269,8,18,D,85
EMP0287,재무,129741,3,4,C,58
EMP0288,마케팅,41279,9,6,C,83
EMP0289,마케팅,128891,10,,B,74
EMP0290,고객지원,93518,1,13,A,43
EMP0291,재무,138648,8,9,D,36
EMP0292,고객지원,57105,4,,C,38
EMP0293,마케팅,132834,5,23,C,67
EMP0294,재무,95477,6,13,C,56
EMP0295,재무,135202,8,19,A,92
EMP0296,인사,89922,6,26,A,28
EMP0297,재무,129545,5,20,D,85
EMP0298,인사,40090,7,21,A,17
EMP0299,IT,31287,8,22,A,28
EMP0300,IT,140019,6,23,C,62
EMP0301,고객지원,87729,7,2,D,40
EMP0302,마케팅,101698,2,14,C,26
EMP0303,재무,107406,1,23,B,64
EMP0304,영업,118841,3,3,D,66
EMP0305,IT,113791,4,4,C,19
EMP0306,마케팅,35303,4,17,B,28
EMP0307,고객지원,50556,5,25,A,59
EMP0308,인사,98511,7,27,B,75
EMP0309,영업,128665,9,22,D,81
EMP0310,고객지원,64340,8,12,A,26
EMP0311,재무,61361,4,27,A,94
EMP0312,재무,34440,1,24,D,96
EMP0313,고객지원,31287,8,23,A,83
EMP0314,IT,126227,1,2,D,40
EMP0315,마케팅,69230,10,6,C,92
EMP0316,재무,82497,7,15,D,89
EMP0317,영업,74811,6,11,C,40
EMP0318,고객지원,31287,3,13,C,41
EMP0319,고객지원,104444,7,7,A,55
EMP0320,재무,107406,8,25,D,43
EMP0321,고객지원,121699,7,2,D,75
EMP0322,인사,30489,5,24,C,47
EMP0323,마케팅,76717,10,29,C,72
EMP0324,마케팅,55704,7,13,D,99
EMP0325,재무,50435,3,5,D,47
EMP0326,인사,138908,10,29,B,37
EMP0327,영업,61820,1,27,A,60
EMP0328,IT,134954,6,1,B,32
EMP0329,영업,71937,4,10,C,41
EMP0330,영업,56924,8,1,D,89
EMP0331,고객지원,66443,4,27,C,65
EMP0332,IT,124926,10,13,B,43
EMP0333,고객지원,120425,10,11,C,99
EMP0334,영업,71058,6,24,B,90
EMP0335,인사,104444,10,11,D,26
EMP0336,인사,144906,6,15,D,67
EMP0337,IT,127988,5,20,B,23
EMP0338,인사,127806,6,1,B,20
EMP0339,고객지원,32796,10,28,C,51
EMP0340,인사,99395,10,12,C,69
EMP0341,고객지원,87193,7,14,B,75
EMP0342,마케팅,36439,9,25,D,21
EMP0343,고객지원,144953,4,13,C,80
EMP0344,고객지원,100108,10,13,A,72
EMP0345,IT,41653,1,24,D,38
EMP0346,인사,36439,5,28,D,95
EMP0347,고객지원,130149,4,6,C,33
EMP0348,영업,131597,9,11,D,92
EMP0349,인사,143506,10,27,B,21
EMP0350,인사,141898,1,7,B,80
EMP0351,IT,83623,9,25,D,56
EMP0352,IT,31287,4,24,C,27
EMP0353,영업,76750,4,26,D,30
EMP0354,영업,78936,7,26,D,76
EMP0355,고객지원,149499,8,30,A,22
EMP0356,고객지원,35303,9,29,A,15
EMP0357,IT,87649,10,8,D,46
EMP0358,마케팅,77985,9,30,A,86
EMP0359,IT,36439,6,13,A,61
EMP0360,마케팅,68214,5,7,A,78
EMP0361,마케팅,144217,9,28,D,35
EMP0362,마케팅,100216,3,23,D,18
EMP0363,마케팅,64169,4,26,B,65
EMP0364,영업,121198,7,6,C,52
EMP0365,영업,65555,1,7,A,14
EMP0366,IT,100857,3,15,B,34
EMP0367,영업,34609,5,23,C,19
EMP0368,재무,129741,9,9,A,40
EMP0369,IT,121699,7,10,A,80
EMP0370,IT,44820,1,11,D,42
EMP0371,인사,138908,3,20,B,71
EMP0372,인사,119004,8,22,C,34
EMP0373,인사,129741,2,13,B,39
EMP0374,영업,56924,5,17,D,92
EMP0375,고객지원,123590,1,8,C,56
EMP0376,영업,144217,5,3,B,65
EMP0377,재무,124926,9,30,A,16
EMP0378,재무,100216,7,19,C,67
EMP0379,고객지원,30975,9,24,B,11
EMP0380,인사,138457,4,17,A,54
EMP0381,마케팅,138457,6,2,D,99
EMP0382,영업,121699,2,28,B,22
EMP0383,영업,88937,9,30,C,60
EMP0384,인사,98501,10,29,D,19
EMP0385,고객지원,99061,5,27,C,82
EMP0386,재무,127806,5,8,D,46
EMP0387,고객지원,99061,3,17,C,64
EMP0388,영업,66443,4,14,D,58
EMP0389,마케팅,124899,5,2,B,94
EMP0390,인사,137506,10,24,A,37
EMP0391,영업,86374,10,11,C,18
EMP0392,IT,51250,6,1,C,99
EMP0393,고객지원,87896,6,23,C,11
EMP0394,마케팅,44736,3,3,B,91
EMP0395,마케팅,32608,6,17,D,99
EMP0396,고객지원,77985,4,9,C,72
EMP0397,재무,118970,7,8,D,57
EMP0398,IT,98505,4,14,D,97
EMP0399,고객지원,124926,2,6,B,80
EMP0400,마케팅,129403,6,23,A,58
